Data,IE00BQN1K901
11/1997,10000
12/1997,10522.758255024979
01/1998,11225.329586368824
02/1998,11912.31485973928
03/1998,13539.235974458583
04/1998,13584.61242016914
05/1998,13713.889585411216
06/1998,13801.033604613769
07/1998,14163.55702335159
08/1998,11705.820389961138
09/1998,10102.635739056903
10/1998,10684.316113254348
11/1998,11454.55645244668
12/1998,11684.113820527802
01/1999,12034.5310372005
02/1999,11849.005293347182
03/1999,12658.538264141098
04/1999,13466.576946669764
05/1999,13243.301931298993
06/1999,13634.114188800308
07/1999,13550.79417890855
08/1999,13711.819947399981
09/1999,13476.718233689173
10/1999,13970.912221858156
11/1999,14605.033661732032
12/1999,16283.40899969937
01/2000,15435.31471118763
02/2000,15940.905978051878
03/2000,16362.850302585315
04/2000,16836.73311606235
05/2000,17260.56827746646
06/2000,17384.217794818815
07/2000,18267.53468511176
08/2000,18907.819304995162
09/2000,18041.42215124409
10/2000,18903.3294643939
11/2000,17284.300178652516
12/2000,17688.373018971684
01/2001,17917.48726497912
02/2001,17131.146002586585
03/2001,16636.583500035624
04/2001,17563.047883352017
05/2001,17936.974064009497
06/2001,17009.39708620004
07/2001,16434.87655495155
08/2001,15690.349765809944
09/2001,13884.403526494221
10/2001,14243.905587233266
11/2001,15411.590813751025
12/2001,15851.182157871574
01/2002,15753.572004499867
02/2002,16004.486181622055
03/2002,16987.074735233527
04/2002,16973.246259814525
05/2002,16646.1908441264
06/2002,15050.408838612047
07/2002,13201.470017767379
08/2002,13116.498259324972
09/2002,11393.825045341264
10/2002,12353.956832134378
11/2002,12884.039665677852
12/2002,11901.237225888139
01/2003,11490.909784927479
02/2003,10993.618462081115
03/2003,10671.031698409746
04/2003,12029.369042972356
05/2003,12300.626110919698
06/2003,13181.882845096387
07/2003,13878.750251673328
08/2003,14604.910232406959
09/2003,13834.347717441293
10/2003,15123.238960032422
11/2003,15313.056645875344
12/2003,15659.170819043717
01/2004,16541.345927962637
02/2004,16989.956835449895
03/2004,16840.95116709121
04/2004,17198.83203466444
05/2004,17094.09260998582
06/2004,17766.977755036005
07/2004,17481.224996650642
08/2004,17401.053165957124
09/2004,17692.32430053889
10/2004,17808.406389383894
11/2004,18632.39496658732
12/2004,19219.937178287568
01/2005,19891.3660040664
02/2005,20882.916421283415
03/2005,20631.174005458328
04/2005,19757.37631422791
05/2005,21162.278130343002
06/2005,22042.963544618455
07/2005,23104.346720571855
08/2005,23448.985180438733
09/2005,24359.98356971948
10/2005,23441.88194688709
11/2005,24481.932431919733
12/2005,25337.758082690045
01/2006,26430.47851359781
02/2006,26929.939114641533
03/2006,27820.462807170232
04/2006,28287.14167744187
05/2006,26694.31240730794
06/2006,27102.897899217623
07/2006,27498.749583144505
08/2006,28165.647026071823
09/2006,29037.849224484962
10/2006,30317.181594342248
11/2006,30229.178772725398
12/2006,31626.347574460106
01/2007,32339.803554648042
02/2007,31946.707113699213
03/2007,32896.63716897236
04/2007,34668.55656368993
05/2007,36131.857543468825
06/2007,36311.13096902642
07/2007,34748.223274642296
08/2007,34486.45864324198
09/2007,35192.16873807455
10/2007,35966.39103643882
11/2007,33109.45285719184
12/2007,32705.401398286846
01/2008,28530.794657643746
02/2008,28394.835299323968
03/2008,27867.01233946793
04/2008,29678.932331127104
05/2008,29789.588001294644
06/2008,26452.96637830449
07/2008,25736.783810691744
08/2008,26665.766673811846
09/2008,22743.03865812903
10/2008,19871.88508996559
11/2008,18649.777517610048
12/2008,18020.402646293882
01/2009,16996.518868706946
02/2009,15252.350831252483
03/2009,15611.621112606454
04/2009,18539.435444658873
05/2009,19729.614199169988
06/2009,19199.65854166206
07/2009,21056.478917206114
08/2009,22694.443748193877
09/2009,23397.320644757863
10/2009,22192.484502344378
11/2009,22377.22145950747
12/2009,23727.60660160076
01/2010,22992.511657097046
02/2010,23196.34318041818
03/2010,25055.95063530469
04/2010,24621.54399464928
05/2010,23391.022741132496
06/2010,22963.08514436702
07/2010,24264.25913704077
08/2010,23780.638800234155
09/2010,24602.471536024954
10/2010,25336.2280261896
11/2010,24587.824677619483
12/2010,25963.04778199297
01/2011,27055.424197726934
02/2011,27634.189508592495
03/2011,26408.285183771404
04/2011,27283.736635808033
05/2011,27042.470717054868
06/2011,26468.16265996735
07/2011,25298.99405216989
08/2011,21865.864143463947
09/2011,20710.757938894763
10/2011,22589.795720019843
11/2011,22417.87515427032
12/2011,22666.24202863306
01/2012,23581.79146754843
02/2012,24431.617742319555
03/2012,24164.78512960261
04/2012,23304.223869155958
05/2012,21375.20950443761
06/2012,22884.91771666875
07/2012,23437.28897424889
08/2012,24096.95541584743
09/2012,24173.968454995636
10/2012,24700.82591592998
11/2012,25237.113885261275
12/2012,25992.894649885526
01/2013,27015.883676894588
02/2013,26484.495608115274
03/2013,26596.62324734768
04/2013,27499.51275710008
05/2013,28321.045282431918
06/2013,26459.657912775074
07/2013,28323.00636327429
08/2013,28213.64786100182
09/2013,29879.32032821594
10/2013,31177.6225815972
11/2013,31696.901635842652
12/2013,31864.311001369588
01/2014,31693.464760809587
02/2014,33238.27137543322
03/2014,33050.601866123245
04/2014,33720.144402127655
05/2014,34385.262974219506
06/2014,33852.630886084604
07/2014,33275.87078883972
08/2014,33613.73391755893
09/2014,33899.89280885601
10/2014,32787.615432930186
11/2014,33789.740889080684
12/2014,33257.01226648638
01/2015,35752.07466633876
02/2015,38693.497750026705
03/2015,39362.02928441738
04/2015,39045.76080529007
05/2015,39443.519958334764
06/2015,37545.962943146995
07/2015,39277.06594083579
08/2015,35444.87506882325
09/2015,32970.06748553858
10/2015,35955.24885582868
11/2015,36743.87155068572
12/2015,34575.711325199125
01/2016,31638.60527354832
02/2016,31290.870763002466
03/2016,31929.76115401497
04/2016,32989.22808116817
05/2016,33271.57414612106
06/2016,31236.355119647127
07/2016,32912.12328774687
08/2016,33021.945915771605
09/2016,33080.62347059636
10/2016,33582.66818684189
11/2016,33975.7001902394
12/2016,36557.900386926136
01/2017,36615.199360146136
02/2017,37449.1972418052
03/2017,38466.221037571835
04/2017,38733.02921774558
05/2017,39239.70170633971
06/2017,38097.81266162393
07/2017,38415.146280619476
08/2017,37782.425210774345
09/2017,39337.25737998813
10/2017,40136.85171907345
11/2017,39791.10393802571
12/2017,39928.54153019454
01/2018,40687.451350864234
02/2018,39202.45228522447
03/2018,38046.83663595617
04/2018,40288.39419132725
05/2018,39583.012335850675
06/2018,39025.91756327941
07/2018,40186.22128552589
08/2018,38438.77973794417
09/2018,39075.49027599877
10/2018,37130.83219927964
11/2018,36551.626062273775
12/2018,34262.83242162891
01/2019,36746.352928760876
02/2019,37948.47378602295
03/2019,38175.00450402965
04/2019,39457.17439192315
05/2019,36203.87444982537
06/2019,37832.79638469913
07/2019,37751.15285753958
08/2019,36665.569252599445
09/2019,38819.20722964785
10/2019,39193.942505894665
11/2019,40776.24494233465
12/2019,41654.252196463836
01/2020,40521.2474829003
02/2020,36628.1707022165
03/2020,29253.021641461957
04/2020,31686.374514580708
05/2020,32263.092794965065
06/2020,33808.02959228687
07/2020,32017.710327750796
08/2020,33318.39449938316
09/2020,32539.11756635368
10/2020,30519.559188817093
11/2020,36900.20352636718
12/2020,37730.34038816825
01/2021,37896.595990445676
02/2021,39698.39683724094
03/2021,43148.1307809565
04/2021,42805.29647370929
05/2021,44462.0755707372
06/2021,44403.36833829428
07/2021,44608.35331705926
08/2021,45637.751790576534
09/2021,44976.53016444417
10/2021,46230.99520849626
11/2021,44459.64582877487
12/2021,48240.1790403291
01/2022,49534.97093818847
02/2022,47763.8049482364
03/2022,47673.14301970137
04/2022,47412.7791084036
05/2022,48486.3903360101
06/2022,43825.767525510455
07/2022,45571.868892705315
08/2022,44188.1776580244
09/2022,41361.45390701836
10/2022,44396.775179285316
11/2022,46787.96603253212
12/2022,45580.38742321408
01/2023,49014.61820127381
02/2023,50239.54634810649
03/2023,48917.198505045795
04/2023,49950.73165627619
05/2023,47752.52115111667
06/2023,50114.625554582
07/2023,51578.38989106254
08/2023,50001.412882281766
09/2023,50024.544570264115
10/2023,46987.81882958271
11/2023,50058.4348089587
12/2023,51842.64739071571
01/2024,51749.81358548604
02/2024,52319.64714246677
03/2024,54755.60706029663
04/2024,55159.678490227256
