Data,IE00BQZJBM26
07/2007,10000
08/2007,9603.307643986755
09/2007,9887.126266896867
10/2007,10346.24406134081
11/2007,9308.76445479341
12/2007,9368.253725554234
01/2008,8218.001790590451
02/2008,8744.32507190643
03/2008,8122.162971917741
04/2008,8657.016253683689
05/2008,8523.130436952792
06/2008,7337.087429250038
07/2008,7503.715389995078
08/2008,7673.244045122587
09/2008,6505.763155341155
10/2008,5476.303315066024
11/2008,5156.419829476981
12/2008,5217.739600285453
01/2009,5343.188036734457
02/2009,5295.473554646876
03/2009,5611.428303476819
04/2009,6698.691039033586
05/2009,7249.4208837139895
06/2009,7243.961895798986
07/2009,8204.582481271058
08/2009,8162.703356677574
09/2009,8609.672720712371
10/2009,8457.011288283402
11/2009,8568.653604108253
12/2009,9557.144584402322
01/2010,9501.455869625917
02/2010,9710.839386575783
03/2010,10568.97936594849
04/2010,10929.203518121254
05/2010,10757.96527164707
06/2010,10833.29001466927
07/2010,11143.513930693965
08/2010,11604.345823173779
09/2010,12063.430344307337
10/2010,12368.264551199813
11/2010,12886.894286279225
12/2010,13320.695710871918
01/2011,12555.88441779115
02/2011,12041.36702800047
03/2011,12436.13272156275
04/2011,12499.133242870717
05/2011,12613.797686482676
06/2011,12187.068621895805
07/2011,12498.608817919347
08/2011,11081.005954246813
09/2011,10141.162796723629
10/2011,10695.756644444915
11/2011,10518.967390089425
12/2011,10958.07226025453
01/2012,11863.83240813577
02/2012,12334.704784108228
03/2012,12322.371021184437
04/2012,12336.384190428806
05/2012,12006.012370447745
06/2012,12044.278189729032
07/2012,12508.481017565295
08/2012,12431.64431409247
09/2012,12740.845771259095
10/2012,12501.113119173193
11/2012,12747.575827706507
12/2012,13252.953658052538
01/2013,13253.934689315287
02/2013,13915.173032185287
03/2013,14460.568355529895
04/2013,14432.107206875375
05/2013,14220.36836703687
06/2013,12944.758345787177
07/2013,12756.909821168121
08/2013,12255.164825538843
09/2013,12856.494562387903
10/2013,13212.047946463952
11/2013,12872.173605240068
12/2013,12404.539554135885
01/2014,12041.822357569712
02/2014,12225.13734391719
03/2014,12614.759298218645
04/2014,12699.068423208413
05/2014,13131.323155418057
06/2014,13305.909519272638
07/2014,13688.740712776553
08/2014,14269.52073476691
09/2014,14151.3687274378
10/2014,14034.31165191172
11/2014,13990.764937013293
12/2014,13925.609076141722
01/2015,15135.645830256046
02/2015,15496.521915927891
03/2015,16059.397573059327
04/2015,16379.836946587266
05/2015,16246.075302415982
06/2015,15365.28932642168
07/2015,14428.764798217722
08/2015,12936.26550939074
09/2015,12718.362749255
10/2015,13652.732737574066
11/2015,13729.578721790538
12/2015,13162.364734026489
01/2016,12215.294393651022
02/2016,12665.62727239442
03/2016,13401.227309309506
04/2016,13697.631667712887
05/2016,13235.033421374077
06/2016,14118.394391913354
07/2016,15112.851394248859
08/2016,15224.517753120552
09/2016,15364.980029494196
10/2016,15618.530234697522
11/2016,15391.571883041144
12/2016,15670.732468525195
01/2017,16087.683498201464
02/2017,17150.08895466903
03/2017,17452.22025415979
04/2017,17213.08904453136
05/2017,17027.62615830469
06/2017,16984.257254292363
07/2017,17238.237067782324
08/2017,17555.84690627582
09/2017,17660.200940221148
10/2017,18175.950050569412
11/2017,18013.175493614108
12/2017,18668.62215957835
01/2018,19307.094597809028
02/2018,19080.219637443457
03/2018,18692.671783480142
04/2018,18776.89293301917
05/2018,19111.292236572615
06/2018,17968.34448253292
07/2018,18133.082170723166
08/2018,17791.820224555613
09/2018,17663.01331860333
10/2018,16211.61611565715
11/2018,17049.01862573151
12/2018,16612.394672972812
01/2019,17950.174905462674
02/2019,18320.172940869055
03/2019,18862.34083709192
04/2019,19087.405343508395
05/2019,18103.640459978822
06/2019,18771.417298051194
07/2019,19160.044788066196
08/2019,18377.530293725173
09/2019,18894.386414163426
10/2019,18991.334334548592
11/2019,19273.34870587178
12/2019,19997.06257947959
01/2020,19105.776115492412
02/2020,17975.864092104912
03/2020,14193.90563275105
04/2020,16032.646037528277
05/2020,15865.525646196264
06/2020,16801.940226230203
07/2020,16878.983582747434
08/2020,17162.692701887092
09/2020,17152.61087212169
10/2020,17224.42362881079
11/2020,18652.859801893286
12/2020,19255.795190152545
01/2021,19244.288648342816
02/2021,20283.527073388777
03/2021,21508.563801908527
04/2021,22022.66788155857
05/2021,22014.886543565768
06/2021,23147.913752441305
07/2021,22773.820052052128
08/2021,23622.276098622664
09/2021,23681.177121485976
10/2021,23003.979381841204
11/2021,23040.330653631863
12/2021,24205.964531372047
01/2022,24133.16691229781
02/2022,24026.106145101767
03/2022,24954.077030369346
04/2022,24861.79073847611
05/2022,24365.61494448192
06/2022,22598.436126591794
07/2022,23223.84677601029
08/2022,23982.981121872617
09/2022,22270.65913731475
10/2022,21615.564177978507
11/2022,23351.616429874157
12/2022,22643.036294283116
01/2023,23636.953122170125
02/2023,23343.69610527959
03/2023,23093.913493599113
04/2023,23068.15391280809
05/2023,23470.367223825586
06/2023,23950.280218393997
07/2023,25361.094718848366
08/2023,24870.554131415356
09/2023,24996.03275567139
10/2023,23782.322412158923
11/2023,25025.577879891003
