Data,IE00BRKWGL70
03/2006,10000
04/2006,10110.520912547856
05/2006,9802.7785801056
06/2006,9796.296795997863
07/2006,9834.649061881093
08/2006,10045.762653186943
09/2006,10288.452694090518
10/2006,10602.92585710244
11/2006,10778.382276530976
12/2006,10913.843941912495
01/2007,11064.188151885743
02/2007,10836.322035626308
03/2007,10941.912552599546
04/2007,11401.063278018013
05/2007,11789.391897976582
06/2007,11580.624398283113
07/2007,11213.722308164757
08/2007,11369.438977501013
09/2007,11761.400804967252
10/2007,11935.5603003516
11/2007,11437.23222221529
12/2007,11349.228418211924
01/2008,10670.100729690092
02/2008,10339.813441067661
03/2008,10305.94769731714
04/2008,10826.911278655878
05/2008,10980.392021195712
06/2008,10085.608235444148
07/2008,10012.369857941578
08/2008,10181.69643203235
09/2008,9246.276916853772
10/2008,7494.879096664682
11/2008,6967.197323334011
12/2008,7036.830167626428
01/2009,6403.022642210591
02/2009,5717.728612365592
03/2009,6197.804923297374
04/2009,6792.272253949573
05/2009,7148.471360991127
06/2009,7164.199747525491
07/2009,7699.85799237867
08/2009,7973.748784949834
09/2009,8265.255283886976
10/2009,8112.967283312408
11/2009,8591.482975357849
12/2009,8765.52124840135
01/2010,8439.969605345139
02/2010,8706.447263758459
03/2010,9236.425511688498
04/2010,9384.23024983379
05/2010,8575.014733773867
06/2010,8120.244319477106
07/2010,8653.556697296142
08/2010,8252.881340762107
09/2010,8938.539759318006
10/2010,9274.257924341491
11/2010,9278.545585824872
12/2010,9880.929794383841
01/2011,10110.122933822378
02/2011,10457.343318011606
03/2011,10465.27376933574
04/2011,10767.050329737856
05/2011,10649.903367375011
06/2011,10481.516079596127
07/2011,10275.224850389366
08/2011,9724.581424845032
09/2011,8994.281768938992
10/2011,9941.641625739052
11/2011,9921.458031178327
12/2011,10022.969015968127
01/2012,10465.987512894897
02/2012,10907.868599366971
03/2012,11266.697557949868
04/2012,11193.550428964563
05/2012,10471.600375053835
06/2012,10890.178149499752
07/2012,11042.923802625692
08/2012,11281.435617876336
09/2012,11563.29497656981
10/2012,11347.332188840512
11/2012,11409.37982870992
12/2012,11507.634831606772
01/2013,12082.926091336632
02/2013,12250.768898109174
03/2013,12715.303923072495
04/2013,12950.808745134478
05/2013,13255.893994698328
06/2013,13075.813347898351
07/2013,13724.98101928777
08/2013,13322.676451100091
09/2013,13727.782756277782
10/2013,14354.414683115616
11/2013,14789.643875670048
12/2013,15159.204887712907
01/2014,14623.251395332598
02/2014,15275.668997378896
03/2014,15404.037059360577
04/2014,15517.586354341205
05/2014,15888.305033910507
06/2014,16215.917771858398
07/2014,15984.39023168581
08/2014,16631.725457541426
09/2014,16385.057116746357
10/2014,16784.515743816064
11/2014,17234.279802570567
12/2014,17186.069220689853
01/2015,16626.455611310488
02/2015,17583.125855947674
03/2015,17282.941685439037
04/2015,17446.496597922174
05/2015,17666.504950801413
06/2015,17323.161089740162
07/2015,17681.590951428694
08/2015,16619.99585626284
09/2015,16198.542840108514
10/2015,17573.49634907137
11/2015,17622.521342372598
12/2015,17335.671890831993
01/2016,16456.926147303635
02/2016,16422.168026733336
03/2016,17478.117978164122
04/2016,17529.22541181022
05/2016,17840.38259827698
06/2016,17865.414698181823
07/2016,18497.775115967153
08/2016,18502.2400513526
09/2016,18480.37444417258
10/2016,18110.8126036951
11/2016,18783.144900948748
12/2016,19120.957982182063
01/2017,19442.132702232586
02/2017,20209.87469612128
03/2017,20202.404112407756
04/2017,20380.17056524758
05/2017,20624.999737641097
06/2017,20715.210680185315
07/2017,21091.620050466714
08/2017,21117.42622159269
09/2017,21521.10684254937
10/2017,21996.783484085165
11/2017,22617.128015320333
12/2017,22813.444768463887
01/2018,24027.70798648938
02/2018,23082.193147732713
03/2018,22443.943901783605
04/2018,22486.839919155645
05/2018,22986.582495842893
06/2018,23070.991690409566
07/2018,23875.116708114376
08/2018,24600.43350537909
09/2018,24684.868364765218
10/2018,22891.037292997484
11/2018,23302.83114072496
12/2018,21143.834256563507
01/2019,22774.53609629972
02/2019,23459.672882150073
03/2019,23859.07286939386
04/2019,24766.438738231296
05/2019,23117.147241417024
06/2019,24654.70505623097
07/2019,24957.765535355076
08/2019,24490.423443520558
09/2019,24893.04075300089
10/2019,25357.20724517792
11/2019,26238.473432192088
12/2019,26950.185364413515
01/2020,26888.02383223811
02/2020,24602.12293472804
03/2020,21511.526969732233
04/2020,24245.30860186805
05/2020,25367.139154616805
06/2020,25847.770042841785
07/2020,27195.32300173226
08/2020,29106.283483862648
09/2020,27959.270544787352
10/2020,27193.34812613092
11/2020,30082.009853165095
12/2020,31179.52261329651
01/2021,30838.06422450429
02/2021,31668.315797171363
03/2021,33060.84663053523
04/2021,34757.10429606455
05/2021,34979.47432659638
06/2021,35795.95731651737
07/2021,36621.878828322886
08/2021,37715.575627088416
09/2021,35902.789101728275
10/2021,38398.36480614963
11/2021,38093.73291455743
