Data,IE00BSJCQV56
12/1989,10000
01/1990,9831.916770056989
02/1990,9612.59828369476
03/1990,9899.48102523937
04/1990,9973.44720371666
05/1990,10101.836380502815
06/1990,9935.495991335745
07/1990,9868.012950639426
08/1990,9228.762595847887
09/1990,7978.207678865052
10/1990,8044.389844999764
11/1990,7703.464996215532
12/1990,7519.350401353308
01/1991,7460.288186415745
02/1991,7920.271283629193
03/1991,7942.55794812994
04/1991,7782.920242886232
05/1991,7573.571360812425
06/1991,7430.852228771235
07/1991,7273.199129452296
08/1991,7017.720234281961
09/1991,6850.795344499063
10/1991,6753.138834929101
11/1991,6419.096390276867
12/1991,6047.4009531079355
01/1992,5943.712621275064
02/1992,5726.164380851252
03/1992,5661.498654224221
04/1992,5455.192876923839
05/1992,5380.569842619237
06/1992,4993.141073719573
07/1992,4810.482243422972
08/1992,4565.095312336833
09/1992,4438.921998701343
10/1992,4514.891888753445
11/1992,4757.321727678477
12/1992,4608.303462346344
01/1993,4606.386466943665
02/1993,5113.1394923185035
03/1993,5289.9127925384755
04/1993,5451.080818415666
05/1993,5671.369742543828
06/1993,5911.689941177576
07/1993,6347.752522078806
08/1993,6732.866659140343
09/1993,6464.638783256955
10/1993,6658.804098028612
11/1993,6497.571415210374
12/1993,6904.286142693472
01/1994,7682.695282766518
02/1994,7451.467575357189
03/1994,7064.345242157819
04/1994,6839.103521228612
05/1994,6694.352252387787
06/1994,6362.512678581307
07/1994,6464.638014136417
08/1994,6396.487129258092
09/1994,6001.7601667715735
10/1994,5926.151879644853
11/1994,6020.561019861076
12/1994,5954.171616371677
01/1995,5763.468140638025
02/1995,5731.698361906978
03/1995,5570.372405990712
04/1995,5761.534882225003
05/1995,6049.166806186628
06/1995,5923.331482949153
07/1995,6055.465391061844
08/1995,6066.342433726558
09/1995,6033.272864366557
10/1995,6076.721342373839
11/1995,6232.831819753521
12/1995,6280.608075999683
01/1996,6573.622329875348
02/1996,6562.516562633407
03/1996,6494.703732398421
04/1996,6567.7814332768585
05/1996,6477.812678650841
06/1996,6586.21585477942
07/1996,6523.995016015377
08/1996,6747.940202908472
09/1996,6829.861315779296
10/1996,6926.986547284633
11/1996,7172.759674469711
12/1996,7377.359391212229
01/1997,8032.156868166269
02/1997,8287.016887962944
03/1997,8287.743788618438
04/1997,8085.9540743091175
05/1997,8201.754327283406
06/1997,8338.662378677192
07/1997,8517.19043717866
08/1997,8334.451300145029
09/1997,8725.56849517879
10/1997,8402.840342235419
11/1997,8291.580792807172
12/1997,8413.682011440464
01/1998,8856.474903907229
02/1998,8989.139547283603
03/1998,9553.115640245464
04/1998,9829.423293772166
05/1998,9978.500407290612
06/1998,9873.225200829887
07/1998,9847.157629619445
08/1998,8747.912126575124
09/1998,8568.291744834538
10/1998,8773.90902289811
11/1998,8948.057539991778
12/1998,9090.224596012062
01/1999,9358.081122649459
02/1999,9450.64663957465
03/1999,9539.411599906376
04/1999,9886.601665010576
05/1999,9987.560683870512
06/1999,10301.212235336841
07/1999,10252.833026841576
08/1999,10274.348025185724
09/1999,10126.579879678982
10/1999,10060.822857737385
11/1999,10093.249755541521
12/1999,10217.876536630534
01/2000,10072.169617218184
02/2000,10216.75168991438
03/2000,10413.244364152088
04/2000,10677.435259472875
05/2000,10913.525769797949
06/2000,11209.812074212126
07/2000,11325.362055944515
08/2000,11778.99288962085
09/2000,11703.847570290256
10/2000,11636.997355790281
11/2000,11681.586054842313
12/2000,11600.609071235463
01/2001,12058.391752199643
02/2001,12583.272995633059
03/2001,12075.167025368419
04/2001,12192.680014805474
05/2001,12508.900936675267
06/2001,12531.10958537028
07/2001,12434.898330950466
08/2001,12098.215279458505
09/2001,11084.557485495961
10/2001,11547.933200609958
11/2001,11677.865182023737
12/2001,11750.634830084853
01/2002,12254.535918381134
02/2002,12676.343043046429
03/2002,13008.095076424323
04/2002,13507.6606039466
05/2002,14109.366324852388
06/2002,13351.365933005303
07/2002,13045.68976601584
08/2002,12869.447045894207
09/2002,11904.125616450629
10/2002,12729.626624092381
11/2002,13369.009758788914
12/2002,13269.234707004105
01/2003,12977.19819761859
02/2003,12907.436873183206
03/2003,12777.181263595598
04/2003,13193.32898557921
05/2003,13790.362025163406
06/2003,14044.932488448934
07/2003,14234.558668861771
08/2003,14440.568156182591
09/2003,14562.283848167443
10/2003,14923.917955671139
11/2003,15600.553498431447
12/2003,15824.397929410767
01/2004,16134.258109380748
02/2004,16941.525434074476
03/2004,17557.756719196106
04/2004,17093.981554896203
05/2004,17382.437059184747
06/2004,18150.375283640464
07/2004,18392.34878878191
08/2004,18979.735402663897
09/2004,19419.602064783056
10/2004,19965.942958347514
11/2004,21066.801862771063
12/2004,21763.718254273947
01/2005,22503.379828225476
02/2005,22861.307514890854
03/2005,22935.590513082177
04/2005,23900.160542478072
05/2005,25752.25655369452
06/2005,26990.378995934687
07/2005,27917.457498076477
08/2005,27817.811580511257
09/2005,29109.67211383483
10/2005,27605.08589596405
11/2005,27505.889144701978
12/2005,28145.521402882918
01/2006,29853.287161444874
02/2006,32138.57909475625
03/2006,33981.80093302076
04/2006,33226.999459368315
05/2006,31439.94992467751
06/2006,32298.718530328515
07/2006,33803.266506028805
08/2006,34060.17041956825
09/2006,36276.55570662907
10/2006,37191.47292371583
11/2006,38374.80320336971
12/2006,41440.36356564957
01/2007,42985.791190898504
02/2007,43681.50477086696
03/2007,44810.64647898391
04/2007,43835.38791667152
05/2007,44313.6831740418
06/2007,39820.033902678886
07/2007,36767.16379566121
08/2007,36760.96933599273
09/2007,36407.37193479218
10/2007,36086.105045719516
11/2007,33186.14178726763
12/2007,31893.70850442689
01/2008,31238.844552465347
02/2008,32829.14401533225
03/2008,32403.153510737884
04/2008,32697.367823118875
05/2008,32293.848918200496
06/2008,28188.62654277634
07/2008,27745.201346536498
08/2008,27944.3465298116
09/2008,25233.672746051987
10/2008,19870.664325026642
11/2008,17698.43838000624
12/2008,18665.558913006036
01/2009,18597.630232075608
