Data,IE00BWBXM948
02/2014,10000
03/2014,10083.274584694447
04/2014,10054.774741552976
05/2014,10590.115222607468
06/2014,10741.035127177032
07/2014,11121.260974223096
08/2014,11634.44165561124
09/2014,12116.35023980576
10/2014,12354.18960362916
11/2014,12950.626543810817
12/2014,13018.822182094496
01/2015,13462.657399146368
02/2015,14602.616363237534
03/2015,14736.072688968632
04/2015,14486.517626622695
05/2015,15046.706592002407
06/2015,14143.27242289553
07/2015,14794.700850744852
08/2015,13660.978758789397
09/2015,13488.079269375496
10/2015,15104.724308138871
11/2015,15787.918752448008
12/2015,15041.912027783013
01/2016,14427.113757723188
02/2016,14322.391428640934
03/2016,14887.548374075443
04/2016,14091.873533410113
05/2016,15076.888939792005
06/2016,14924.41560744061
07/2016,15933.563566509527
08/2016,16063.477843551787
09/2016,16347.62315082858
10/2016,16517.06260266449
11/2016,16970.857123571077
12/2016,17490.909355837583
01/2017,17750.971796080157
02/2017,18792.56145853291
03/2017,19027.06477797566
04/2017,18948.031472876293
05/2017,19137.377031313266
06/2017,18295.778696015645
07/2017,18568.788990447247
08/2017,18908.10140304681
09/2017,19096.230604152657
10/2017,20597.915709455083
11/2017,20480.51796196043
12/2017,20308.272765443835
01/2018,20911.46528733197
02/2018,21207.525976081397
03/2018,20237.168759067386
04/2018,20612.779033325885
05/2018,22657.511437706806
06/2018,22688.51966929148
07/2018,22977.307224726348
08/2018,24638.855326252924
09/2018,24774.13310904275
10/2018,23296.22761103448
11/2018,22717.006383979802
12/2018,20609.740601764443
01/2019,21951.877397833752
02/2019,23551.337409954045
03/2019,25064.83865649963
04/2019,26695.570933114614
05/2019,24458.796941492288
06/2019,26133.962638412202
07/2019,27537.531807447936
08/2019,27347.88982514138
09/2019,28113.925815958683
10/2019,28487.74339256232
11/2019,30424.80736243938
12/2019,31052.82781665956
01/2020,32789.69029270645
02/2020,30550.552588663875
03/2020,27940.659387624397
04/2020,32007.91373081325
05/2020,33392.16401741486
06/2020,35553.04704491798
07/2020,35466.11982424058
08/2020,39352.127474268294
09/2020,37953.782842156514
10/2020,36023.370410108306
11/2020,39132.213209724236
12/2020,40369.9084042048
01/2021,40415.987052855824
02/2021,40968.04894419818
03/2021,43043.63825613061
04/2021,43944.87148043746
05/2021,43054.818181134324
06/2021,47249.47126596086
07/2021,49018.75028464973
08/2021,50941.27897010075
09/2021,49024.64789276654
10/2021,52698.73586399863
11/2021,56283.803615163844
12/2021,58319.80866497754
01/2022,55196.50835037242
02/2022,52168.77710951966
03/2022,54295.83430989549
04/2022,50940.03820720022
05/2022,49689.988087892045
06/2022,46475.83400134871
07/2022,53655.81821774815
08/2022,51248.73387278364
09/2022,46239.835184805655
10/2022,48926.98310239828
11/2022,49651.5431536836
12/2022,44286.19500756757
01/2023,47620.159894748824
02/2023,48699.00800147194
03/2023,52677.06944332084
04/2023,52073.22765591887
05/2023,58159.93971565229
06/2023,60685.98154939817
07/2023,61292.84929417555
08/2023,61125.51131934712
09/2023,58627.43485945344
10/2023,58499.08019868619
11/2023,64057.80836221015
12/2023,65982.88433061438
01/2024,69078.11924775125
02/2024,72358.56198857911
03/2024,73000.22707335156
04/2024,69316.89247528664
