Data,IE00BWT3KN65
06/1994,10000
07/1994,10234.74774186922
08/1994,10862.196769425604
09/1994,10785.44151323076
10/1994,11153.337671896403
11/1994,11046.427343682486
12/1994,11147.952111032542
01/1995,11489.08050149597
02/1995,11918.060607703388
03/1995,12279.117696970192
04/1995,12680.767114488357
05/1995,13191.942298355843
06/1995,13800.937612213982
07/1995,14234.195461532461
08/1995,14140.092305850909
09/1995,14775.850635733974
10/1995,15084.665050974732
11/1995,15600.841176110582
12/1995,15577.219500168898
01/1996,16183.058074930865
02/1996,16441.50903790365
03/1996,16367.364590300385
04/1996,16833.639536626462
05/1996,17504.394250082918
06/1996,17715.717521478946
07/1996,17136.474696798152
08/1996,17407.496014476583
09/1996,18646.264843800178
10/1996,18905.16165136738
11/1996,20611.88639867913
12/1996,20280.0241999273
01/1997,22024.840624211294
02/1997,22019.341533292605
03/1997,20868.533833354144
04/1997,22689.113290749356
05/1997,23969.54857371203
06/1997,25061.912900390253
07/1997,26870.18473085439
08/1997,25125.26023819053
09/1997,26117.706771734225
10/1997,25472.05252669922
11/1997,26754.562323948867
12/1997,26929.265142664543
01/1998,27873.578369689167
02/1998,29909.155414506124
03/1998,31316.8828927418
04/1998,31592.860495996403
05/1998,30999.73832083497
06/1998,33074.631893015096
07/1998,33224.087168245904
08/1998,28867.785025862326
09/1998,31432.851250510565
10/1998,33776.405726579505
11/1998,36602.400554535365
12/1998,39078.638517906635
01/1999,40801.90836278751
02/1999,39286.165081031024
03/1999,40707.21734442206
04/1999,41047.022754214755
05/1999,40112.66315378146
06/1999,42546.32686537752
07/1999,41427.110360282146
08/1999,41868.13183236448
09/1999,40320.813994549186
10/1999,42626.25220694571
11/1999,43927.71727101647
12/1999,46677.028280497194
01/2000,43798.56641394773
02/2000,43288.125247055206
03/2000,47012.88779166919
04/2000,45546.23804256926
05/2000,44456.778277779486
06/2000,47339.54552220148
07/2000,45760.855983638925
08/2000,47553.2733365007
09/2000,45031.028938582036
10/2000,45867.54051307571
11/2000,43134.90962946286
12/2000,42037.63759023561
01/2001,43208.18854626559
02/2001,39055.82940523045
03/2001,36303.46920234116
04/2001,38739.97117502305
05/2001,38916.749001513264
06/2001,37953.427872819266
07/2001,38511.47986721828
08/2001,36161.02630969086
09/2001,34101.83318853537
10/2001,34987.44347078019
11/2001,37734.14992354156
12/2001,37825.678298406754
01/2002,38126.18481270331
02/2002,37540.95226496271
03/2002,38375.75976705104
04/2002,35849.57396914387
05/2002,35424.68217539299
06/2002,32935.34155153435
07/2002,30954.53462428394
08/2002,31151.966073563006
09/2002,27959.53036860615
10/2002,30795.143503569172
11/2002,31920.67543327961
12/2002,30237.90755041705
01/2003,29267.616663711964
02/2003,28939.078517747683
03/2003,29337.3608621162
04/2003,31118.93379946538
05/2003,32427.81193018991
06/2003,32786.930135085146
07/2003,32757.299167568133
08/2003,33256.80203840212
09/2003,32979.21136695296
10/2003,34353.80114597086
11/2003,34493.62065093286
12/2003,36053.346264362066
01/2004,36312.92893137524
02/2004,36868.97448160586
03/2004,36250.278830802556
04/2004,36817.542789599276
05/2004,36871.15574250547
06/2004,37363.00525740753
07/2004,36157.390886210706
08/2004,36361.10866808182
09/2004,36315.266623183
10/2004,36475.862156838535
11/2004,37739.97723494504
12/2004,39419.67967268864
01/2005,38945.638245350645
02/2005,39931.67137381123
03/2005,39477.962898123835
04/2005,38578.18502565866
05/2005,39644.0455166082
06/2005,39165.21768429807
07/2005,40535.64659850455
08/2005,39915.91956257179
09/2005,39851.95475084577
10/2005,39264.005032623965
11/2005,40427.79636038136
12/2005,40100.46043920111
01/2006,40711.31010604286
02/2006,40711.698590897584
03/2006,40954.13280044793
04/2006,40802.001564257014
05/2006,39605.489541875206
06/2006,39786.394826226344
07/2006,40004.965405860166
08/2006,41033.38548339498
09/2006,41815.939674813395
10/2006,43476.624411031
11/2006,44365.854495933774
12/2006,44562.5494995856
01/2007,45121.850964653364
02/2007,43888.51889547999
03/2007,44341.72155057118
04/2007,46593.704310559835
05/2007,48165.28918229088
06/2007,47510.158626516175
07/2007,46722.51745924062
08/2007,47907.60599111599
09/2007,49461.57376859435
10/2007,50267.22613108935
11/2007,48735.83834417983
12/2007,48905.32656213331
01/2008,45382.02143393173
02/2008,44797.871157162386
03/2008,44582.83952003117
04/2008,46039.743592647035
05/2008,47264.57197068517
06/2008,44184.35512719574
07/2008,43777.41695922268
08/2008,44732.714359697886
09/2008,41489.72867835179
10/2008,35179.70334376494
11/2008,33475.43124750832
12/2008,33825.27695611717
01/2009,32276.020793871856
02/2009,29530.19532525447
03/2009,32077.795427802634
04/2009,34303.059933511526
05/2009,36068.67938189149
06/2009,36615.19108464924
07/2009,38704.96751989233
08/2009,39530.4442569651
09/2009,40847.76412133746
10/2009,40878.827560012614
11/2009,43333.34444300449
12/2009,44201.03349103346
01/2010,42262.489630637305
02/2010,43199.20937912634
03/2010,45323.64212187816
04/2010,45717.87571305147
05/2010,41919.53376953616
06/2010,40264.655822968656
07/2010,42690.089845359165
08/2010,41187.279662376146
09/2010,45320.06197247702
10/2010,47336.06666567096
11/2010,47238.359963018986
12/2010,49332.47457641438
01/2011,49946.18874211032
02/2011,51307.70503838362
03/2011,51294.9256766744
04/2011,53579.651617478085
05/2011,53452.6433055662
06/2011,53121.05764637108
07/2011,52932.14271307697
08/2011,50748.118698686456
