Data,IE00BYML9W36
02/1992,10000
03/1992,10067.223946357692
04/1992,10268.936239965067
05/1992,10121.60467923391
06/1992,9685.249781649114
07/1992,9600.970056126449
08/1992,9166.929125557741
09/1992,9488.532091739458
10/1992,9916.980694000504
11/1992,10926.050643656801
12/1992,11052.533770046111
01/1993,11362.15255394979
02/1993,11803.4681876635
03/1993,12111.359341201132
04/1993,11415.993656664188
05/1993,11749.809634260013
06/1993,12127.611355987716
07/1993,12590.628551411295
08/1993,13167.67433552971
09/1993,12546.657763195431
10/1993,12955.998461222622
11/1993,13176.601431597632
12/1993,13329.461719036077
01/1994,13968.95137483935
02/1994,13536.961334206419
03/1994,12678.554251697708
04/1994,12877.839509762052
05/1994,12807.31876556302
06/1994,12289.985402493574
07/1994,12301.826991108435
08/1994,12820.396155212977
09/1994,12372.33725371374
10/1994,12408.018799104977
11/1994,12133.400376511228
12/1994,12564.71018283479
01/1995,12626.577468357656
02/1995,12974.532819040358
03/1995,12837.798882455354
04/1995,12962.441053962255
05/1995,13688.270700876412
06/1995,13888.7829068951
07/1995,14182.056921307765
08/1995,14647.582013241063
09/1995,15460.980803159615
10/1995,15165.4215665983
11/1995,15864.742676117492
12/1995,16425.756651841937
01/1996,17190.352082252564
02/1996,17448.70378930902
03/1996,17604.70204023158
04/1996,18015.836943756225
05/1996,18703.88575973144
06/1996,18628.857019522005
07/1996,17534.485449405038
08/1996,17741.32055593536
09/1996,18901.572983868213
10/1996,19482.52225633462
11/1996,20685.37885413949
12/1996,20723.408108496045
01/1997,22616.10686899553
02/1997,23785.490875624248
03/1997,23071.94237719684
04/1997,24581.3667917916
05/1997,25997.08833592763
06/1997,27465.88248089905
07/1997,30475.127293131714
08/1997,29587.145180029846
09/1997,30387.81595466507
10/1997,28838.53713992031
11/1997,29551.374656518525
12/1997,30868.664709314817
01/1998,31926.680214622957
02/1998,34152.65524916775
03/1998,36032.445735600384
04/1998,36146.986207632064
05/1998,34983.106844845664
06/1998,36666.996868413546
07/1998,36360.84728962742
08/1998,30975.543771114666
09/1998,31420.90694368348
10/1998,32720.284534425748
11/1998,35706.20182113872
12/1998,37521.36747145976
01/1999,40366.171263015225
02/1999,40409.18466879879
03/1999,43104.005597627605
04/1999,45384.070864420806
05/1999,44908.05138119796
06/1999,47985.91361014085
07/1999,44894.540434544026
08/1999,45181.8075037681
09/1999,43562.24220366699
10/1999,47256.48112482783
11/1999,49915.19612150962
12/1999,53121.255879427226
01/2000,51764.10072077657
02/2000,51184.61685151041
03/2000,57136.82368528782
04/2000,58270.20606994467
05/2000,55734.795964614845
06/2000,55594.53534189804
07/2000,56576.232687563876
08/2000,62361.874033451386
09/2000,60017.21897848493
10/2000,62231.90515085159
11/2000,55560.433845991705
12/2000,52103.89574407671
01/2001,54019.991030966434
02/2001,49330.99512470883
03/2001,48380.15205338698
04/2001,51879.31435074587
05/2001,54663.638143804
06/2001,53330.924483265895
07/2001,51145.038703155406
08/2001,45831.38437005733
09/2001,42253.05153691343
10/2001,43480.838982746354
11/2001,47571.9247947523
12/2001,48449.542947481496
01/2002,48713.363316395655
02/2002,47694.56453660191
03/2002,49072.23242822346
04/2002,44641.71670484244
05/2002,42521.84243200333
06/2002,37163.25099272647
07/2002,34937.15530145908
08/2002,34986.25659827338
09/2002,31097.11746503844
10/2002,33819.15926168248
11/2002,35581.05640144947
12/2002,31700.870312842675
01/2003,29930.093988059776
02/2003,29572.7409141919
03/2003,29548.929985794155
04/2003,31303.55752196907
05/2003,31025.442876844638
06/2003,32506.082340904686
07/2003,33396.42920256701
08/2003,35264.679282843405
09/2003,32717.809778589366
10/2003,34656.526664128614
11/2003,33875.64911290157
12/2003,33855.51687558344
01/2004,35160.384870769856
02/2004,35550.02381749196
03/2004,35567.90884718953
04/2004,35819.78877099023
05/2004,35562.66394825586
06/2004,36380.95011681222
07/2004,35514.27753819546
08/2004,35444.46424816575
09/2004,34966.46025031372
10/2004,34584.99162305756
11/2004,34472.626230636815
12/2004,34791.116562652314
01/2005,35467.57455488878
02/2005,35606.049870566414
03/2005,35764.536369738016
04/2005,35103.71123831683
05/2005,38057.98338023461
06/2005,38863.70555163398
