Data,IE00BYTRR756
09/2010,10000
10/2010,10080.674276203483
11/2010,10463.188236133745
12/2010,10670.237733968896
01/2011,10236.213783755382
02/2011,10440.273925696083
03/2011,10231.081345838298
04/2011,10432.676054400867
05/2011,10959.461184604674
06/2011,10616.14020836088
07/2011,10672.634512862876
08/2011,10491.88658286609
09/2011,10731.227276958838
10/2011,10894.704962185946
11/2011,11334.211780715763
12/2011,11937.954007761442
01/2012,11722.05469224405
02/2012,11998.916154104789
03/2012,12406.242923693724
04/2012,12535.880515929113
05/2012,12830.214929793325
06/2012,13066.521515763301
07/2012,13880.889901373408
08/2012,13680.013084378556
09/2012,13557.178281386734
10/2012,13365.353973099673
11/2012,13646.23594885825
12/2012,13285.29375109844
01/2013,13613.944411983386
02/2013,14469.761387404431
03/2013,15356.46969881642
04/2013,15417.532514816034
05/2013,15143.317476587341
06/2013,14873.03716223526
07/2013,15136.599846451116
08/2013,14704.9333714757
09/2013,14773.984860960292
10/2013,15386.940744828273
11/2013,15445.158110139544
12/2013,15370.499364320656
01/2014,14850.606489968115
02/2014,15223.05886241665
03/2014,15440.10320534784
04/2014,15816.374054839016
05/2014,16394.408177526188
06/2014,16338.93364235739
07/2014,16179.723503791312
08/2014,16909.94479836342
09/2014,17293.518402687492
10/2014,17751.27324334544
11/2014,18587.247753964584
12/2014,18728.176975174403
01/2015,20345.479715021615
02/2015,21227.84996755102
03/2015,21572.208885636588
04/2015,20923.714461975047
05/2015,21409.4631134482
06/2015,20579.920780387278
07/2015,21819.996105493407
08/2015,20178.041753367455
09/2015,20293.02278742287
10/2015,21807.62778645471
11/2015,22546.10784036521
12/2015,22121.793464141312
01/2016,22189.305344774657
02/2016,21909.451991738446
03/2016,22033.52813230072
04/2016,21848.48797015093
05/2016,22608.9247820707
06/2016,23394.59553684587
07/2016,23291.71052759271
08/2016,23179.344695974567
09/2016,22976.08816032136
10/2016,22743.442221342357
11/2016,22296.911809216577
12/2016,23086.684708638022
01/2017,22902.95224258443
02/2017,24301.714477198202
03/2017,24362.384906115116
04/2017,24321.142114438422
05/2017,24620.938041596597
06/2017,23725.361783317207
07/2017,23076.110686469558
08/2017,22837.09529036408
09/2017,22766.576996354164
10/2017,23085.632066573035
11/2017,23382.890783715953
12/2017,23662.386358836993
01/2018,23193.01826660091
02/2018,22044.081460452824
03/2018,21866.50936308695
04/2018,21800.68536096034
05/2018,22265.455352598732
06/2018,22843.107194524928
07/2018,23450.236110682024
08/2018,23437.59973204404
09/2018,23540.10948059235
10/2018,23770.91906826328
11/2018,24124.280508913173
12/2018,22278.562459775487
01/2019,23296.54946401642
02/2019,24008.692763138213
03/2019,25382.675695395796
04/2019,25873.991002334216
05/2019,25194.79927434392
06/2019,25700.579393636206
07/2019,26679.6518824955
08/2019,27460.9623608732
09/2019,27902.233894737663
10/2019,27172.183586118732
11/2019,27695.764453491473
12/2019,27778.57894668827
01/2020,28115.691635174357
02/2020,25872.514029850245
03/2020,24615.561147938875
04/2020,26123.02995143587
05/2020,26216.320587850172
06/2020,26112.8836070613
07/2020,26230.121226455132
08/2020,26697.42601752713
09/2020,26874.424163157444
10/2020,26000.575904875386
11/2020,27316.013313457883
12/2020,27385.759363109122
01/2021,26405.243000253082
02/2021,25753.876216462293
03/2021,28329.05791884973
04/2021,28484.75428563289
05/2021,28881.211315642555
06/2021,29679.91910796786
07/2021,30048.41337786047
08/2021,30443.138142212796
09/2021,29781.91384026909
10/2021,30820.90308616082
11/2021,30945.930030544532
12/2021,33214.52544120097
01/2022,32661.453229177234
02/2022,32342.87110620788
03/2022,32705.296511111057
04/2022,34744.06731382539
05/2022,32901.062688324615
06/2022,32551.87505712001
07/2022,34669.00499978199
08/2022,34169.242992957705
09/2022,33291.53157264063
