Data,IE00BYVQ9F29
04/2013,10000
05/2013,10735.132622260724
06/2013,10472.201771909631
07/2013,11123.395171002758
08/2013,11079.351259485236
09/2013,11597.689424780905
10/2013,12190.76987903061
11/2013,12526.367263512553
12/2013,12963.312381384332
01/2014,12748.72373151196
02/2014,13345.350073412485
03/2014,12985.484412545407
04/2014,12937.267290270616
05/2014,13525.206564309567
06/2014,13937.303499487469
07/2014,14088.886283393389
08/2014,14794.182783399696
09/2014,14670.480333784957
10/2014,15055.818117634899
11/2014,15722.196967348456
12/2014,15351.85955945099
01/2015,15025.007756483546
02/2015,16085.043203986557
03/2015,15689.035303837572
04/2015,15983.93560867838
05/2015,16328.623849793727
06/2015,15923.789867543861
07/2015,16624.54427488213
08/2015,15519.196882807872
09/2015,15173.366937307925
10/2015,16861.84973623607
11/2015,16932.258359939115
12/2015,16661.345304321374
01/2016,15511.412809691417
02/2016,15236.300717942486
03/2016,16253.336723424896
04/2016,15696.741799271966
05/2016,16384.53067554253
06/2016,15789.835805520737
07/2016,17101.610008751115
08/2016,17252.15853402375
09/2016,17472.506544263164
10/2016,17305.861205955534
11/2016,17347.29120106466
12/2016,17499.684873156442
01/2017,18378.851563276192
02/2017,19158.36364358034
03/2017,19511.267340814662
04/2017,20003.35315654906
05/2017,20735.88545329183
06/2017,20176.55031942853
07/2017,21078.066854389454
08/2017,21338.836256138828
09/2017,21274.486668360583
10/2017,22214.11380262199
11/2017,22614.878111174534
12/2017,22678.70843942602
01/2018,24576.536108496915
02/2018,24214.66204261729
03/2018,23195.51092633242
04/2018,23227.89110300311
05/2018,24493.782711689622
06/2018,24688.198401799105
07/2018,25295.70443625027
08/2018,26734.07232734449
09/2018,26580.979480630238
10/2018,24192.85876120894
11/2018,24098.62553037194
12/2018,21891.16021500832
01/2019,23823.904533635618
02/2019,24453.147606872037
03/2019,25365.86349981923
04/2019,26682.94546980073
05/2019,24389.100144444626
06/2019,26165.45601424076
07/2019,26705.595361657557
08/2019,26125.00037282555
09/2019,26263.43272752903
10/2019,27312.97333015
11/2019,28368.375025822897
12/2019,29405.666206998514
01/2020,30219.311296029668
02/2020,28352.438537342678
03/2020,26256.491846227913
04/2020,30262.480302515905
05/2020,32150.921166592987
06/2020,34150.58472098672
07/2020,36592.909589992196
08/2020,40622.46408932883
09/2020,38263.539557652184
10/2020,37000.17554391201
11/2020,41019.684286812386
12/2020,43007.44597483854
01/2021,43089.91305900425
02/2021,43050.71469874929
03/2021,43660.25760168474
04/2021,46183.83186854657
05/2021,45578.6336834519
06/2021,48487.10497223286
07/2021,49811.75242484527
08/2021,51882.14400920258
09/2021,48847.17368140943
10/2021,52672.748175413326
11/2021,53600.05647746289
12/2021,54146.72807864883
01/2022,49523.48629505861
02/2022,47306.62825188607
03/2022,49267.531633788225
04/2022,42430.08287368156
05/2022,41667.43463779103
06/2022,37787.71645112324
07/2022,42567.380308457694
08/2022,40185.46801920591
09/2022,35771.56121846294
10/2022,37087.720264885545
11/2022,38932.06766481935
12/2022,35392.46323307382
01/2023,39024.46949976915
02/2023,38735.7993184637
03/2023,42274.49866314125
04/2023,42390.189697656264
05/2023,45636.397628418854
06/2023,48472.41884078261
07/2023,50189.98256651852
08/2023,49339.53247647422
09/2023,46731.47700802054
10/2023,45690.3319383315
11/2023,50475.44845766736
12/2023,53193.42229762433
01/2024,54119.12874993706
02/2024,56828.987129280365
03/2024,57553.918694293054
04/2024,54879.97928463519
