Data,IE00BYXVGZ48
01/2014,10000
02/2014,10259.445218542762
03/2014,10378.863104805076
04/2014,10497.424138091601
05/2014,10876.2045023899
06/2014,11023.87179618895
07/2014,11008.160909122409
08/2014,11409.266473031488
09/2014,11606.693769652487
10/2014,11873.426364196052
11/2014,12127.339982400339
12/2014,12309.654807507393
01/2015,13038.105328427673
02/2015,13748.757270465912
03/2015,14137.366418400845
04/2015,13857.584147763044
05/2015,14195.71536220417
06/2015,13534.818872284879
07/2015,14043.138505028839
08/2015,12840.123059932292
09/2015,12514.084580919538
10/2015,13693.9050510752
11/2015,14191.088744931103
12/2015,13516.517636124378
01/2016,12915.196523919187
02/2016,12969.070865544994
03/2016,13281.998173505886
04/2016,13462.982583091714
05/2016,13775.330484947897
06/2016,13812.871153520293
07/2016,14340.680148418336
08/2016,14309.706906287593
09/2016,14376.431837427703
10/2016,14397.58219371779
11/2016,15082.14848783971
12/2016,15566.439781954128
01/2017,15632.865340091474
02/2017,16333.126867004705
03/2017,16374.875001740014
04/2017,16192.692365803949
05/2017,16128.148334432573
06/2017,15938.784805242194
07/2017,15848.703079280827
08/2017,15737.020540260883
09/2017,16168.040679368361
10/2017,16766.204502075158
11/2017,16857.597423357227
12/2017,16830.241878004083
01/2018,16985.558276691427
02/2018,16611.016110346853
03/2018,16189.98770519533
04/2018,16575.74029388778
05/2018,17227.021748141393
06/2018,17226.542143282928
07/2018,17730.004546652774
08/2018,18095.874978831413
09/2018,18268.474550584157
10/2018,17536.439001845498
11/2018,17742.385045272764
12/2018,16286.787587591269
01/2019,17388.03810607567
02/2019,18071.932575477284
03/2019,18616.293601613794
04/2019,19262.73262243489
05/2019,18308.463431860473
06/2019,19096.95774948867
07/2019,19618.278382867087
08/2019,19495.3727478622
09/2019,20332.759824987625
10/2019,20352.961366224557
11/2019,21173.36473588485
12/2019,21294.792805973775
01/2020,21444.778313396415
02/2020,19689.740498548268
03/2020,16934.63777710639
04/2020,18858.512833505036
05/2020,19219.109756391055
06/2020,19509.620750244165
07/2020,19084.58685853775
08/2020,19994.329325631843
09/2020,19829.078199105676
10/2020,19242.57647938855
11/2020,20991.259760543602
12/2020,21381.080172115533
01/2021,21378.95894046547
02/2021,22011.487699560123
03/2021,23886.951678094643
04/2021,23975.817561190568
05/2021,24208.867897034615
06/2021,24913.594335505728
07/2021,25233.377889492036
08/2021,25781.81813630911
09/2021,25213.760534732573
10/2021,26354.938957995804
11/2021,26517.66122192336
12/2021,28172.894098189907
01/2022,27473.805011449687
02/2022,26878.367645462848
03/2022,27818.00154293173
04/2022,27349.239305422187
05/2022,27237.561534196197
06/2022,25832.85816419662
07/2022,28057.238744774873
08/2022,27341.17379616627
09/2022,25588.72480810445
10/2022,27111.447523159008
11/2022,28120.109266834002
12/2022,26526.82525291896
01/2023,27509.557597781422
02/2023,27255.153123942662
03/2023,27161.634877668457
04/2023,27435.206874562627
05/2023,27365.98036681503
06/2023,28441.3778756461
07/2023,29014.251071573308
08/2023,28734.38690464464
09/2023,28214.144151155182
10/2023,27289.223265766745
11/2023,28779.62213502979
12/2023,30077.528197934906
01/2024,31002.793570222973
02/2024,31864.29942844717
03/2024,32745.123773021744
04/2024,31756.76190786945
