Data,IE00BYXYX745
05/1994,10000
06/1994,9689.471129787804
07/1994,9809.193606106312
08/1994,10046.418898226353
09/1994,9567.03003428766
10/1994,9618.995355740451
11/1994,9370.15792288274
12/1994,9651.447532015452
01/1995,9371.604069667355
02/1995,9379.389316435352
03/1995,9219.658670279267
04/1995,9356.818385576062
05/1995,9695.065142145675
06/1995,9730.974159143028
07/1995,10068.377181754335
08/1995,9952.916686246212
09/1995,10311.919010115982
10/1995,9977.256461722605
11/1995,9841.063107435599
12/1995,10289.630957368734
01/1996,10543.864054652417
02/1996,11037.08674316068
03/1996,11198.31095640783
04/1996,11500.574085924201
05/1996,11907.892560533217
06/1996,11934.31045060833
07/1996,11596.235426274865
08/1996,11737.874405489829
09/1996,11868.079284788948
10/1996,12142.913771450332
11/1996,12359.992180874755
12/1996,13032.379781795456
01/1997,13379.90326883596
02/1997,14103.339522086884
03/1997,14473.76510722146
04/1997,14221.663786999416
05/1997,14819.717624332106
06/1997,15552.40347585435
07/1997,16119.613548414482
08/1997,16229.555979842682
09/1997,16929.449919298077
10/1997,16269.650829695704
11/1997,15892.014939972096
12/1997,16577.847423626197
01/1998,17518.687598212935
02/1998,18833.432343579625
03/1998,20663.074070726332
04/1998,21258.471297260112
05/1998,21668.152831460146
06/1998,21253.056719529897
07/1998,21752.934072792043
08/1998,19024.14015121292
09/1998,17173.307565428815
10/1998,17713.36310719146
11/1998,18863.598850772843
12/1998,19373.65787459626
01/1999,20119.199210618008
02/1999,20197.628394149822
03/1999,20616.810780940523
04/1999,21436.06375154723
05/1999,21299.222291378006
06/1999,21802.774721728296
07/1999,21671.530163652376
08/1999,22109.985701264734
09/1999,21700.287136248608
10/1999,21944.010161545397
11/1999,23538.194519236862
12/1999,26203.593475609796
01/2000,25524.781655990984
02/2000,28355.277546252062
03/2000,28236.35509789956
04/2000,27534.709302417832
05/2000,26470.028921558245
06/2000,26634.319994775607
07/2000,27485.11361102856
08/2000,28473.757393153304
09/2000,27540.896635018526
10/2000,27483.52163157528
11/2000,25510.36579804137
12/2000,25579.978832684104
01/2001,25931.26660552597
02/2001,24839.532183985917
03/2001,23524.338271229895
04/2001,24623.30357111888
05/2001,25154.078699351343
06/2001,24110.82310674807
07/2001,23304.941364729257
08/2001,22108.53255930236
09/2001,18984.755337176994
10/2001,20172.303574127982
11/2001,21569.617300526916
12/2001,22090.10535473026
01/2002,22021.555838168548
02/2002,21982.823908229147
03/2002,23182.822663578412
04/2002,22618.363290486774
05/2002,22047.160659780417
06/2002,20036.510645331855
07/2002,18274.300838752002
08/2002,18137.89979143588
09/2002,16020.51583424183
10/2002,17119.19084810301
11/2002,17901.930813385898
12/2002,16208.668520005302
01/2003,14947.748256219329
02/2003,14296.419485420392
03/2003,14021.330167746806
04/2003,15659.346832172308
05/2003,15925.500693655731
06/2003,16625.837681657966
07/2003,17385.655204412553
08/2003,18181.86320725618
09/2003,17391.005588006905
10/2003,18887.750195008495
11/2003,19014.819094344264
12/2003,19175.07166611434
01/2004,20267.912282497517
02/2004,20964.02733712645
03/2004,20748.32260939436
04/2004,21004.646674330786
05/2004,21049.322070754784
06/2004,21603.762098554456
07/2004,21077.007656992333
08/2004,20971.62441570896
09/2004,21277.51256601121
10/2004,21545.634040582572
11/2004,22438.132615220442
12/2004,22950.836749613376
01/2005,23828.540357855793
02/2005,24574.043511551143
03/2005,24390.44699561608
04/2005,23715.410265507973
05/2005,25244.72519692324
06/2005,26156.912606882895
07/2005,27111.875628907117
08/2005,27480.195015175497
09/2005,28401.53138711261
10/2005,27353.512808854222
11/2005,28909.212746391328
12/2005,30114.023197071227
01/2006,31745.156276715552
02/2006,32774.202590157714
03/2006,33620.362111514216
04/2006,34093.484378037836
05/2006,32225.275855169137
06/2006,32669.102727937916
07/2006,32956.07283635875
08/2006,34157.25209864567
09/2006,35320.524011898284
10/2006,36940.70266053593
11/2006,37281.66410435979
