Data,IE00BYXYYL56
09/2011,10000
10/2011,10351.600415467257
11/2011,10472.696851207935
12/2011,11246.822515584628
01/2012,11369.467802992307
02/2012,11394.252302872444
03/2012,11386.866935571627
04/2012,11630.576816698233
05/2012,12122.615882912514
06/2012,12216.38138100256
07/2012,12752.091714077524
08/2012,12539.156922638791
09/2012,12357.765609560309
10/2012,12396.147747833847
11/2012,12467.257485863229
12/2012,12479.234323124449
01/2013,12268.488108545234
02/2013,12667.581997773954
03/2013,13105.506222130398
04/2013,13097.547524407679
05/2013,13034.81485699331
06/2013,12586.045186710851
07/2013,12661.896453768726
08/2013,12575.300742879192
09/2013,12447.836117416782
10/2013,12640.890677836525
11/2013,12682.599737902938
12/2013,12567.26918759279
01/2014,12889.661835119377
02/2014,12868.375876579588
03/2014,12885.802796711665
04/2014,12889.310139753248
05/2014,13232.610792784606
06/2014,13288.074526143808
07/2014,13338.55912580618
08/2014,13743.56749944515
09/2014,14057.993292657522
10/2014,14353.47933504419
11/2014,14239.098288998832
12/2014,14477.238053192472
01/2015,15673.01431488969
02/2015,16100.983180509196
03/2015,16671.479966529536
04/2015,16143.984896198746
05/2015,16517.441128101837
06/2015,15901.269173554589
07/2015,16128.807493007387
08/2015,15487.688562047302
09/2015,15009.066747863237
10/2015,15792.050291343863
11/2015,16022.202809992745
12/2015,15149.582228858086
01/2016,14897.77142284632
02/2016,15099.883294670097
03/2016,15000.663906083248
04/2016,15470.47242857192
05/2016,15881.921628409907
06/2016,16118.121041764842
07/2016,16462.31772628506
08/2016,16762.080697078552
09/2016,16815.860964965617
10/2016,17138.953640902586
11/2016,17561.80229659649
12/2016,18037.139322655137
01/2017,17870.838563433495
02/2017,18391.361207849364
03/2017,18182.510423945827
04/2017,17956.04577536335
05/2017,17636.923707368616
06/2017,17345.896932677344
07/2017,17041.533142036897
08/2017,16863.848558417874
09/2017,17017.183691640086
10/2017,17305.008725107953
11/2017,16923.892511564834
12/2017,16727.53924158207
01/2018,16192.059047602335
02/2018,16364.621757315937
03/2018,16138.399933764973
04/2018,16575.520926196714
05/2018,17154.58160381447
06/2018,17262.59277013569
07/2018,17334.535173101805
08/2018,17594.741090769985
09/2018,17789.570480745544
10/2018,17899.959540525273
11/2018,17751.365829015074
12/2018,17240.2770776988
01/2019,17977.19247797928
02/2019,18355.466434645597
03/2019,18816.323388413668
04/2019,19034.735178666015
05/2019,18891.45167677162
06/2019,18946.43645555297
07/2019,19421.59926439939
08/2019,19700.390664689967
09/2019,19976.836676628205
10/2019,19592.414300017077
11/2019,19990.463948257333
12/2019,19866.866457004533
01/2020,20114.007226838705
02/2020,19899.629010864002
03/2020,17836.80023581942
04/2020,18667.37716760579
05/2020,19040.908661231453
06/2020,18941.931983131304
07/2020,18746.45744409449
08/2020,18760.527287480247
09/2020,18815.07024703088
10/2020,18896.96360698567
11/2020,19166.702858360026
12/2020,19024.69967265431
01/2021,19296.74181720267
02/2021,19339.40681488567
03/2021,20049.381122622664
04/2021,19652.9993967009
05/2021,19512.981883344277
06/2021,20263.840061938517
07/2021,20300.913133439164
08/2021,20522.891024901757
09/2021,20936.016997525454
10/2021,20768.20260834678
11/2021,21040.576650271858
12/2021,21484.84849510236
01/2022,21194.729232728485
02/2022,20990.69897840203
03/2022,20993.38102492272
04/2022,21304.59450825908
05/2022,21285.372125523394
06/2022,20510.590116499272
07/2022,22266.16520179301
08/2022,21964.01601123028
09/2022,21759.801435597547
10/2022,22053.681437721138
11/2022,21479.44694638153
12/2022,20709.21578192481
01/2023,21072.65183755497
02/2023,21157.559259991664
03/2023,20908.528167543867
04/2023,20831.84826211406
05/2023,21151.959017305773
06/2023,21087.191510062563
07/2023,21057.46625010324
08/2023,21389.316176949666
09/2023,21640.759021810703
10/2023,21398.950183272147
11/2023,21689.60927958943
12/2023,22141.667098920352
01/2024,22512.373267399995
02/2024,22520.02485794403
03/2024,22851.234434390706
04/2024,22821.20441021091
