Data,IE00BYYHSM20
06/2017,10000
07/2017,9966.560421892851
08/2017,9871.215715054903
09/2017,10219.796068815302
10/2017,10412.041435757354
11/2017,10179.871162882138
12/2017,10192.481158349308
01/2018,10158.775029052844
02/2018,9900.578865096017
03/2018,9704.230133510628
04/2018,10312.09099560597
05/2018,10102.015533801736
06/2018,10040.791617603865
07/2018,10332.834369352395
08/2018,10179.958657915247
09/2018,10271.915386223558
10/2018,9969.984360303379
11/2018,9992.409867240463
12/2018,9561.563407921893
01/2019,10195.469421462285
02/2019,10550.977787649314
03/2019,10658.137183786372
04/2019,10949.955155144447
05/2019,10339.330747340024
06/2019,10777.817152209554
07/2019,10680.711270090202
08/2019,10521.38199346757
09/2019,11106.135523624529
10/2019,11363.657081063568
11/2019,11578.954906295456
12/2019,11930.795108367765
01/2020,11694.039392894068
02/2020,10581.027638037775
03/2020,8794.222230426838
04/2020,9303.891295416443
05/2020,9442.857803581308
06/2020,9723.41230571831
07/2020,9496.479814258942
08/2020,9644.13720208553
09/2020,9489.033941227672
10/2020,8981.51030124612
11/2020,10418.737394348615
12/2020,10674.571042014315
01/2021,10604.322583344678
02/2021,10699.956757819831
03/2021,11433.641637692714
04/2021,11473.412356508537
05/2021,11661.336640466458
06/2021,11762.93548067945
07/2021,11992.148016488512
08/2021,12153.792614352702
09/2021,11672.43356816993
10/2021,12041.224988935954
11/2021,11940.06413016083
12/2021,12692.811274708676
01/2022,13087.087203095929
02/2022,12884.838001742566
03/2022,13109.484503311707
04/2022,13348.964631838511
05/2022,13308.39963514864
06/2022,12406.346665953035
07/2022,13344.910798102988
08/2022,12562.81398251275
09/2022,11735.557462989176
10/2022,12386.44424805238
11/2022,13215.9668743732
12/2022,12738.775519456512
01/2023,13565.076886040957
02/2023,13800.927995628765
03/2023,13881.972335367152
04/2023,14155.735124163395
05/2023,13776.24758892054
06/2023,13858.66708914762
07/2023,14240.29545353005
08/2023,13969.960123348665
09/2023,13701.528508156232
10/2023,13387.67916572761
11/2023,14225.183167222402
12/2023,14676.384465322693
01/2024,15101.681255844547
02/2024,15506.920835241683
03/2024,16020.058780516125
04/2024,15667.174266236792
