Data,IE00BYZTVT56
02/2017,10000
03/2017,9967.540439217477
04/2017,10020.333544553872
05/2017,10061.698051428817
06/2017,10007.175659175413
07/2017,10088.094227069456
08/2017,10140.08459873839
09/2017,10115.237265002426
10/2017,10224.251762857486
11/2017,10208.52517924921
12/2017,10181.397046262724
01/2018,10153.515284369456
02/2018,10149.205437540515
03/2018,10135.775677971387
04/2018,10138.308576926378
05/2018,10106.64611948325
06/2018,10100.064301059587
07/2018,10129.189350151884
08/2018,10127.163607231138
09/2018,10098.555737139439
10/2018,10083.624143851535
11/2018,10026.174821357272
12/2018,10045.420316744998
01/2019,10148.923046498598
02/2019,10212.17155466519
03/2019,10345.225767850447
04/2019,10414.504462088576
05/2019,10401.062763310763
06/2019,10556.0440986814
07/2019,10693.540062417318
08/2019,10765.774076062753
09/2019,10683.283114366732
10/2019,10659.19956759934
11/2019,10633.60552840713
12/2019,10624.69551533395
01/2020,10736.307403552184
02/2020,10694.039161555385
03/2020,9996.28644935652
04/2020,10345.092574855795
05/2020,10364.254765967651
06/2020,10503.098623955557
07/2020,10651.754261005095
08/2020,10671.627848196566
09/2020,10697.55413756909
10/2020,10770.416129761075
11/2020,10872.027344694845
12/2020,10886.564224743903
01/2021,10870.823209536295
02/2021,10790.004806547991
03/2021,10809.085938820723
04/2021,10808.491371002974
05/2021,10793.523789097411
06/2021,10834.531804803835
07/2021,10953.426724469782
08/2021,10908.95465877715
09/2021,10839.542389646496
10/2021,10755.783337455165
11/2021,10776.360132145419
12/2021,10762.920103392447
01/2022,10624.034262405823
02/2022,10364.283803091532
03/2022,10242.859887043789
04/2022,9967.358854065844
05/2022,9843.749177437438
06/2022,9510.969998578885
07/2022,9958.333424205272
08/2022,9528.976186433958
09/2022,9213.725953845249
10/2022,9220.877612301601
11/2022,9466.530845214667
12/2022,9300.83033145334
01/2023,9504.91077894824
02/2023,9359.61741357054
03/2023,9447.464536819116
04/2023,9514.923865057446
05/2023,9529.572594149951
06/2023,9483.135345850667
07/2023,9581.478765704107
08/2023,9596.867164173014
09/2023,9513.501306394499
10/2023,9552.259478043426
11/2023,9768.110868068356
12/2023,10030.628094109865
01/2024,10041.429403396176
02/2024,9947.511923226437
03/2024,10069.049375004313
04/2024,9981.930049034736
