Data,IE00BYZTVV78
12/2015,10000
01/2016,10003.954
02/2016,10013.402960077456
03/2016,10034.15777124676
04/2016,10044.355198697845
05/2016,10050.727415337808
06/2016,10054.867971869968
07/2016,10073.283939911877
08/2016,10077.80064756546
09/2016,10079.032776682016
10/2016,10079.35707499209
11/2016,10077.686102096013
12/2016,10081.78531694766
01/2017,10080.350150735141
02/2017,10102.459663380376
03/2017,10084.459701155265
04/2017,10094.63797276893
05/2017,10098.09516117482
06/2017,10085.187282943649
07/2017,10108.229157101381
08/2017,10110.194577436885
09/2017,10107.579966452247
10/2017,10122.335682612898
11/2017,10113.067321561424
12/2017,10104.460395436787
01/2018,10105.89667304729
02/2018,10110.324576553416
03/2018,10100.830418496571
04/2018,10104.404446854049
05/2018,10095.09785838371
06/2018,10093.134417969284
07/2018,10099.98410061454
08/2018,10098.378550593176
09/2018,10096.260563232072
10/2018,10093.132138377807
11/2018,10067.587859058312
12/2018,10069.392943965526
01/2019,10082.568866728423
02/2019,10099.741633792532
03/2019,10127.153484897099
04/2019,10136.760487301912
05/2019,10125.69827021915
06/2019,10155.400356552092
07/2019,10171.440561696301
08/2019,10182.222594590092
09/2019,10158.672186611102
10/2019,10154.508510773174
11/2019,10148.176662287555
12/2019,10152.666023504597
01/2020,10161.863834260601
02/2020,10152.128062512316
03/2020,9929.218508128846
04/2020,10017.913764576679
05/2020,10045.104700709775
06/2020,10096.110937165562
07/2020,10141.266912936908
08/2020,10155.59201339865
09/2020,10161.349630192164
10/2020,10182.232654343528
11/2020,10205.585816824829
12/2020,10203.532666161203
01/2021,10203.924517434509
02/2021,10199.144818185314
03/2021,10203.808568361164
04/2021,10208.789275179495
05/2021,10207.360613466415
06/2021,10210.850871075816
07/2021,10225.095038692572
08/2021,10216.401378960114
09/2021,10209.284711243736
10/2021,10190.02045330674
11/2021,10184.337801025764
12/2021,10186.822712552128
01/2022,10167.131615916604
02/2022,10109.85647935531
03/2022,10080.241507268378
04/2022,10014.647921935748
05/2022,9990.478393873036
06/2022,9875.00040758946
07/2022,9998.108462924327
08/2022,9876.759139713427
09/2022,9760.02931990369
10/2022,9759.636770574158
11/2022,9829.533016011168
12/2022,9807.25646461984
01/2023,9866.92097565205
02/2023,9835.030020203922
03/2023,9879.008219772262
04/2023,9913.923170373797
05/2023,9928.224599619762
06/2023,9913.982724719452
07/2023,9982.89095573772
08/2023,10017.24856688999
09/2023,10026.696170464587
10/2023,10066.937271783518
11/2023,10146.876683561995
12/2023,10247.268829780245
01/2024,10276.276390537001
02/2024,10261.009609859606
03/2024,10315.185931629285
04/2024,10316.145708360089
