Data,IE00BZ02LR44
11/2010,10000
12/2010,10393.970698997156
01/2011,10308.247221861926
02/2011,10468.59665197898
03/2011,10075.757440063397
04/2011,10083.039603699006
05/2011,10209.770382768473
06/2011,10001.43238792458
07/2011,9934.167569022185
08/2011,9126.311177480593
09/2011,9084.871735914398
10/2011,9616.147066328756
11/2011,9793.122660648074
12/2011,10099.511957002735
01/2012,10356.970730979792
02/2012,10631.495756946135
03/2012,10878.472797624987
04/2012,10863.121762587978
05/2012,10540.229318579502
06/2012,10880.64496932327
07/2012,11274.908405997801
08/2012,11285.764656657308
09/2012,11285.342434496024
10/2012,11195.171299026073
11/2012,11395.950627365875
12/2012,11479.95771980262
01/2013,11841.095649883295
02/2013,12274.618099454712
03/2013,12953.73018836788
04/2013,13110.451689354715
05/2013,13162.841458943278
06/2013,12812.20713229807
07/2013,13261.140262409857
08/2013,12988.790313015406
09/2013,13368.177465499504
10/2013,13757.852676434863
11/2013,14041.762047705068
12/2013,14121.510318984923
01/2014,13847.763934150536
02/2014,14260.632989707832
03/2014,14289.70497939976
04/2014,14326.281091331017
05/2014,14843.512630043908
06/2014,15009.647476301556
07/2014,15133.09580424422
08/2014,15678.202452533378
09/2014,15981.059888175845
10/2014,16172.791519938108
11/2014,16584.818543403435
12/2014,16750.398234597495
01/2015,17659.868710943912
02/2015,18773.049820785513
03/2015,19407.986773022018
04/2015,19012.240594986266
05/2015,19499.09616927434
06/2015,18678.36917049304
07/2015,19479.83682190005
08/2015,17795.11277322832
09/2015,17207.85102362384
10/2015,18875.25019851576
11/2015,19586.1714087998
12/2015,18819.940128048198
01/2016,17629.541892157893
02/2016,17537.803823114536
03/2016,17902.540230577386
04/2016,18118.46144546108
05/2016,18697.89581040991
06/2016,18419.77211777522
07/2016,19211.40666307469
08/2016,19201.774095190394
09/2016,19182.612762238037
10/2016,19115.29037657026
11/2016,19895.89132676427
12/2016,20551.23811434906
01/2017,20588.579029420423
02/2017,21441.4107157131
03/2017,21487.13955088359
04/2017,21339.989131518767
05/2017,21199.867135421115
06/2017,20966.617307675868
07/2017,20987.640497928962
08/2017,20756.803912927146
09/2017,21279.88824907658
10/2017,21982.73118830691
11/2017,21974.65606260249
12/2017,21944.67780997201
01/2018,22320.63195848246
02/2018,21857.296519076142
03/2018,21300.70743133067
04/2018,21925.298533300607
05/2018,22519.149114128548
06/2018,22574.63400164756
07/2018,23181.472115190256
08/2018,23667.6950784741
09/2018,23907.064262162763
10/2018,22575.003470281994
11/2018,23015.465392788534
12/2018,21145.80640782877
01/2019,22594.937993320862
02/2019,23503.48576531252
03/2019,24140.855891443854
04/2019,25068.74965861277
05/2019,23815.41633066636
06/2019,24853.75784699032
07/2019,25556.45978332192
08/2019,25442.623163233417
09/2019,26365.48369930927
10/2019,26466.243519330077
11/2019,27625.524693712625
12/2019,27793.630143746013
01/2020,28310.69609910918
02/2020,26308.439084001024
03/2020,23086.399153245824
04/2020,25703.10677393215
05/2020,26422.451246842982
06/2020,26911.717385946253
07/2020,26302.375261558853
08/2020,27896.447530787522
09/2020,27494.59915212588
10/2020,26555.892098102275
11/2020,29216.295573963784
12/2020,29728.697285516882
01/2021,29862.356206482338
02/2021,30694.45294321356
03/2021,32799.04742863383
04/2021,33318.56874216427
05/2021,33447.27612572965
06/2021,34994.56200280938
07/2021,35795.50352063363
08/2021,37036.224938592066
09/2021,36124.098673540495
10/2021,38701.21347644912
11/2021,38650.36642128019
12/2021,40348.38946676208
01/2022,38377.24609317396
02/2022,36955.58597994926
03/2022,38344.959844638484
04/2022,36876.45243996132
05/2022,36032.212902266554
06/2022,34332.68633003212
07/2022,37612.8742468016
08/2022,36274.9559209664
09/2022,33862.41117116405
10/2022,35391.40148031196
11/2022,36417.75235141635
12/2022,33813.41325492014
01/2023,35748.283185183434
02/2023,35549.77797278267
03/2023,35995.0385552468
04/2023,36255.95893160683
05/2023,37208.3241626718
06/2023,38708.22875404582
07/2023,39348.75370865894
08/2023,39273.1581543586
09/2023,38292.332450661874
10/2023,36952.12157617322
11/2023,39711.18804705887
12/2023,41280.18195496488
01/2024,42795.139925130425
02/2024,44764.3409814527
03/2024,46373.66867528868
04/2024,44826.47204039839
