Data,IE00BZ0PKT83
11/2014,10000
12/2014,10266.759554262788
01/2015,10957.36775178246
02/2015,11591.367266877396
03/2015,12023.066622317237
04/2015,11673.606647722298
05/2015,12157.024334375195
06/2015,11698.103166570427
07/2015,12126.935428692781
08/2015,11120.432487256581
09/2015,10756.739227750018
10/2015,11704.667307175525
11/2015,12247.338534039216
12/2015,11735.726608575034
01/2016,10922.232035525016
02/2016,10933.339426196771
03/2016,11156.436558235362
04/2016,11172.23176192859
05/2016,11496.613290588297
06/2016,11320.499388278406
07/2016,11730.616137145938
08/2016,11753.699996471538
09/2016,11852.826061577649
10/2016,11823.79571007219
11/2016,12381.575899270814
12/2016,12771.050401697044
01/2017,12807.819100715622
02/2017,13349.729033835853
03/2017,13367.16793976623
04/2017,13329.23784245875
05/2017,13300.087212537306
06/2017,13090.335434201479
07/2017,13068.833740477292
08/2017,13043.246503020137
09/2017,13474.6332122477
10/2017,14112.231027865286
11/2017,14239.951987533921
12/2017,14200.702358706249
01/2018,14338.576456057912
02/2018,14189.494807295718
03/2018,13920.310818961421
04/2018,14208.29732734172
05/2018,14837.649528179374
06/2018,14619.532684777396
07/2018,14919.485535274254
08/2018,15148.3303387344
09/2018,15231.566826584809
10/2018,14301.158281473543
11/2018,14344.377020898324
12/2018,13162.883937148612
01/2019,14284.49965170972
02/2019,14756.430318164497
03/2019,14898.661214508473
04/2019,15247.0168195443
05/2019,14328.629793477243
06/2019,15082.829446516478
07/2019,15393.799772862101
08/2019,15056.391476540995
09/2019,15611.896186297032
10/2019,15603.49517666284
11/2019,16373.443342380126
12/2019,16370.025612176285
01/2020,16368.447973802426
02/2020,15069.929595870555
03/2020,12980.376376838196
04/2020,14389.661770009976
05/2020,14814.72737310819
06/2020,14927.611905486418
07/2020,14831.729705088188
08/2020,15361.926456224126
09/2020,15302.51505917617
10/2020,14992.810748042015
11/2020,16354.3449524589
12/2020,16627.84493232556
01/2021,16802.783202821898
02/2021,17351.845133933646
03/2021,18781.488943715958
04/2021,18918.438772113623
05/2021,19118.003908264076
06/2021,19664.197647894427
07/2021,19881.509784537804
08/2021,20333.281252870638
09/2021,19667.595022335307
10/2021,20370.48198494286
11/2021,20449.144979181594
12/2021,21708.93657036637
01/2022,20718.389055834385
02/2022,20452.95163042884
03/2022,21166.517430237076
04/2022,20770.59381319252
05/2022,20594.073582939098
06/2022,19116.097450307505
07/2022,21016.195650162375
08/2022,20625.715283876518
09/2022,19247.298719627877
10/2022,20720.53750275518
11/2022,21057.847195065347
12/2022,19575.466061242834
01/2023,20534.70130449216
02/2023,20391.869111928372
03/2023,20141.626330889994
04/2023,20145.969540703776
05/2023,20010.707502889658
06/2023,20886.340514437758
07/2023,21291.317606477525
08/2023,21088.36573461012
09/2023,20942.027011314065
10/2023,20229.575034925376
11/2023,21132.38869723439
12/2023,21780.050825210932
01/2024,22576.175846077527
02/2024,23502.193472139574
03/2024,24483.28858168123
04/2024,23595.0572081118
