Data,IE00BZ173T46
05/2012,10000
06/2012,10136.037197511254
07/2012,10320.828527823607
08/2012,10352.021754232257
09/2012,10312.241650195727
10/2012,10131.68905899638
11/2012,10272.052525418045
12/2012,10317.929793023059
01/2013,10616.766835352166
02/2013,11132.081792953839
03/2013,11971.164026052209
04/2013,11872.143663377958
05/2013,12136.739067442852
06/2013,11918.07727262489
07/2013,12450.1341946808
08/2013,12162.14463958035
09/2013,12438.255651586162
10/2013,12728.692384121314
11/2013,13011.544621235791
12/2013,13203.394117981623
01/2014,13050.72061449138
02/2014,13420.746866655836
03/2014,13434.157577587604
04/2014,13363.49072001795
05/2014,13968.101518480626
06/2014,14204.297456683435
07/2014,14318.291736390189
08/2014,15146.333206816584
09/2014,15561.443346465976
10/2014,16159.20661486371
11/2014,16664.97605537357
12/2014,17057.97387464361
01/2015,17786.40876014121
02/2015,18922.391289332692
03/2015,19567.442407630017
04/2015,18721.52278437443
05/2015,19452.154820423344
06/2015,18756.129840915197
07/2015,19310.047480690868
08/2015,17548.06207964578
09/2015,17260.344620364693
10/2015,18840.429403094593
11/2015,19659.189439200774
12/2015,18743.479225322066
01/2016,17624.509170697907
02/2016,17772.394033851902
03/2016,18199.210828241117
04/2016,18154.91668933542
05/2016,18869.706846263736
06/2016,18888.041790504914
07/2016,19591.767712306846
08/2016,19755.507972969976
09/2016,19698.757141415852
10/2016,19528.521639825354
11/2016,20780.711949960147
12/2016,21307.196623521864
01/2017,21483.320780098704
02/2017,22450.480158874725
03/2017,22269.916592382982
04/2017,22155.01530190555
05/2017,21709.3945429142
06/2017,21578.163533714116
07/2017,21338.75088697117
08/2017,21192.101584993427
09/2017,21704.179381997914
10/2017,22696.454673940585
11/2017,22973.201918284187
12/2017,22974.718039261457
01/2018,23373.237140327663
02/2018,22878.630871158493
03/2018,22305.012605789696
04/2018,22602.04524363749
05/2018,23809.024658356167
06/2018,24025.509278433845
07/2018,24867.05684864741
08/2018,25571.647941509287
09/2018,25906.294326581916
10/2018,24406.577788064278
11/2018,25336.826101467977
12/2018,22893.913196800782
01/2019,24519.008041684243
02/2019,25655.6928523809
03/2019,26394.30257149295
04/2019,27459.04473793461
05/2019,25877.132894666218
06/2019,27304.95813404805
07/2019,28299.312204627473
08/2019,28299.863224995217
09/2019,29059.861794341603
10/2019,29034.377091084338
11/2019,30627.432724576356
12/2019,30695.461974293918
01/2020,31226.549993101464
02/2020,29275.56390711402
03/2020,26045.723736429736
04/2020,29426.933970531973
05/2020,30433.65339782259
06/2020,30917.393063299627
07/2020,31019.998850630676
08/2020,33598.7313701787
09/2020,33301.02104256171
10/2020,32303.43293070213
11/2020,35024.61619912519
12/2020,35417.651902115096
01/2021,35704.98056345263
02/2021,35855.30091208434
03/2021,39033.7959292692
04/2021,39636.484680096546
05/2021,39581.12773006436
06/2021,41494.389780299214
07/2021,42235.23017424658
08/2021,43717.702383222786
09/2021,42608.08976470911
10/2021,46654.921490206085
11/2021,47254.0317299816
12/2021,49975.720199333424
01/2022,47240.894063968066
02/2022,45805.06689768547
03/2022,47705.42127340172
04/2022,46256.95127223121
05/2022,45173.28371696599
06/2022,42789.204791205404
07/2022,47634.9747732454
08/2022,46584.48500798963
09/2022,43409.20790711525
10/2022,46363.77637532189
11/2022,47183.42075834144
12/2022,43003.523927577946
01/2023,45592.807903437366
02/2023,45633.145477656646
03/2023,45382.298519205346
04/2023,44985.2244480932
05/2023,45732.08649994964
06/2023,48589.44104809626
07/2023,49569.36449665459
08/2023,49186.23380280191
09/2023,47975.13492059181
10/2023,45995.85582700713
11/2023,49239.247580281066
12/2023,51321.47289240362
01/2024,52241.08810629164
02/2024,54075.382116131594
03/2024,55572.469191497265
04/2024,53232.186564666954
