Data,IE00BZ56RN96
03/2016,10000
04/2016,9962.582208629308
05/2016,10260.410287238736
06/2016,10205.926699449403
07/2016,10663.898401526176
08/2016,10584.404057028167
09/2016,10645.152083595776
10/2016,10521.647936921301
11/2016,10904.661252536624
12/2016,11239.263668171257
01/2017,11292.769603250561
02/2017,11852.25943723168
03/2017,11976.915210366638
04/2017,12046.419119691613
05/2017,12103.721909173677
06/2017,11809.381714979032
07/2017,11697.006948965283
08/2017,11731.677177249887
09/2017,12017.546207115238
10/2017,12464.484430690027
11/2017,12591.32096259569
12/2017,12637.957242051878
01/2018,12682.536868748039
02/2018,12386.89564403069
03/2018,12072.988337077553
04/2018,12315.750165290392
05/2018,12959.266495255375
06/2018,12894.821721797976
07/2018,13295.119897554148
08/2018,13635.50075541193
09/2018,13747.614292198441
10/2018,13057.94482629137
11/2018,13043.442691183851
12/2018,12048.992874126554
01/2019,12845.94468900999
02/2019,13433.443074060753
03/2019,14001.6290235454
04/2019,14564.174598670237
05/2019,13660.942631749765
06/2019,14364.006136245715
07/2019,14737.24381967022
08/2019,14702.611041955566
09/2019,15210.057461915789
10/2019,15353.878860608851
11/2019,16133.792700854226
12/2019,16335.38452912687
01/2020,16455.707011759536
02/2020,15185.748419247058
03/2020,13661.233636084477
04/2020,15147.460967100818
05/2020,15505.695231999514
06/2020,15878.557140809075
07/2020,15621.187385588475
08/2020,16475.135569388716
09/2020,16504.51675958478
10/2020,15958.061508331226
11/2020,17152.459118698705
12/2020,17358.3004805726
01/2021,17328.590884653597
02/2021,17424.58369177249
03/2021,18733.391311184827
04/2021,18827.739455317263
05/2021,19118.44948500449
06/2021,19763.43274731706
07/2021,20206.609748085844
08/2021,20601.920326763204
09/2021,20044.596171575125
10/2021,20815.339772193413
11/2021,20993.889161824467
