Data,JE00B1VS3333
12/1978,10000
01/1979,11297.81661700246
02/1979,13002.847654896932
03/1979,12595.642490363107
04/1979,13070.187737185901
05/1979,15146.443015047198
06/1979,14561.993396399765
07/1979,14935.245589919869
08/1979,17015.912186529884
09/1979,26499.05523244697
10/1979,27177.608526807333
11/1979,30973.379503782922
12/1979,51307.61908138754
01/1980,55645.24688639383
02/1980,56526.005596889336
03/1980,22592.85963702662
04/1980,23432.557413660496
05/1980,22193.19205768751
06/1980,26730.238756913976
07/1980,24861.98203294933
08/1980,25798.14752662505
09/1980,32847.02132593433
10/1980,30992.774384341963
11/1980,31299.847144318686
12/1980,27155.48296566404
01/1981,23098.765065567528
02/1981,23501.38302370434
03/1981,23133.926056099754
04/1981,21304.30736548962
05/1981,21618.02454844798
06/1981,17592.92570379716
07/1981,18581.963740474323
08/1981,20524.501459553547
09/1981,19149.264940506087
10/1981,18928.833980325064
11/1981,16965.871894714805
12/1981,16960.758916076393
01/1982,17480.61377600946
02/1982,17097.559760791126
03/1982,15671.967027643272
04/1982,15908.848050649769
05/1982,13828.258938225623
06/1982,13185.502990082568
07/1982,15591.540087633137
08/1982,18271.071081846683
09/1982,19541.045289938385
10/1982,23813.713099342647
11/1982,23395.184520672552
12/1982,25552.122986079696
01/1983,32249.74032212511
02/1983,27792.94731768769
03/1983,25058.58160786908
04/1983,28938.774716020678
05/1983,32977.07673920742
06/1983,29090.652467192944
07/1983,30866.137831591193
08/1983,31449.846088734863
09/1983,29490.516571940872
10/1983,22543.187262030722
11/1983,25971.874180901756
12/1983,24177.936015812873
01/1984,23380.27369616109
02/1984,25908.226039964145
03/1984,25002.144503573218
04/1984,23621.38635208589
05/1984,24921.7526208742
06/1984,22919.395166989645
07/1984,20142.970946612255
08/1984,21322.78950170212
09/1984,22293.29642390415
10/1984,21958.54319806332
11/1984,20948.958975721365
12/1984,19413.701439375363
01/1985,20014.218127434913
02/1985,18737.014490888596
03/1985,21879.35235852492
04/1985,19325.411694284532
05/1985,18724.766865195816
06/1985,18468.247213183105
07/1985,18208.732202503277
08/1985,17333.84983620761
09/1985,17065.18937843131
10/1985,16252.066066204055
11/1985,15945.786208508596
12/1985,14678.698586130022
01/1986,15122.451089503911
02/1986,13485.016060985263
03/1986,12995.76979382856
04/1986,11874.218821892266
05/1986,11885.595659340097
06/1986,11563.304162004955
07/1986,11221.197835068358
08/1986,11151.130928733852
09/1986,11810.073879069361
10/1986,11859.929459750309
11/1986,11499.610727303227
12/1986,11120.314383033607
01/1987,10980.484430701803
02/1987,10624.308424614774
03/1987,12227.866115835674
04/1987,15549.260759828336
05/1987,14524.778068181742
06/1987,13736.402757612044
07/1987,16229.9554886881
08/1987,14831.596083823077
09/1987,14624.559520988138
10/1987,13065.00246973097
11/1987,12939.175417603112
12/1987,11587.443242823703
01/1988,11440.20294633203
02/1988,11026.944364102925
03/1988,11962.241039328785
04/1988,11377.976439403246
05/1988,11729.903759534951
06/1988,12254.037417100371
07/1988,13157.797332934135
08/1988,12773.68226979486
09/1988,12107.072333117872
10/1988,12069.450881233432
11/1988,11147.915011961035
12/1988,11120.660239007359
01/1989,11171.31986854086
02/1989,11325.094890991397
03/1989,11217.409913679607
04/1989,11026.951601882365
05/1989,10641.78943925987
06/1989,10734.1104253242
07/1989,10206.36035013917
08/1989,10205.250598621658
09/1989,10789.113900275108
10/1989,10286.345594246
11/1989,10780.2746561014
12/1989,9684.324431503424
01/1990,9375.192936251577
02/1990,9096.392403074819
03/1990,8973.822620425028
04/1990,8801.951046427996
05/1990,8889.913722168436
06/1990,8540.513690305022
07/1990,8304.99954215171
08/1990,7895.399917516637
09/1990,7848.040434552364
10/1990,6706.124566091058
11/1990,6359.09501449136
12/1990,6598.595122222237
01/1991,6033.330871303435
02/1991,5702.5963124813225
03/1991,6469.554773031422
04/1991,6985.890915349877
05/1991,7434.6177989199105
06/1991,8307.86379669848
07/1991,7594.367477886933
08/1991,6962.257198549742
09/1991,7335.20626225325
10/1991,7242.80766259368
11/1991,6926.34102607732
12/1991,6365.36272206983
01/1992,6857.657814342935
02/1992,6985.912709239017
03/1992,7171.55417302603
04/1992,6865.903649289016
05/1992,6860.403614150236
06/1992,6608.72431667272
07/1992,6177.516587780915
08/1992,5662.764463329198
09/1992,5864.489204545661
10/1992,6102.796204129061
11/1992,6446.560419338851
12/1992,6331.034518384864
01/1993,6518.929463662339
02/1993,6424.625858437633
03/1993,7038.257823461573
04/1993,7510.74229392889
05/1993,8253.02484602825
06/1993,8240.046185057221
07/1993,9947.344218695083
08/1993,9155.012784308083
09/1993,7311.531794267474
10/1993,8079.04784146497
11/1993,8413.314657706434
12/1993,9626.078980794837
01/1994,9643.949736233324
02/1994,9954.293986452509
03/1994,10659.22157953243
04/1994,9837.646677550205
05/1994,10014.171083388606
06/1994,9410.021576148538
07/1994,9189.111538810917
08/1994,9308.891651202714
09/1994,9655.652360949862
10/1994,9003.732853567195
11/1994,8672.358665012875
12/1994,8453.831507730138
