Data,JE00B78NNS84
03/2005,10000
04/2005,9412.486505756839
05/2005,9335.789921407892
06/2005,9488.881839482552
07/2005,9910.517609120783
08/2005,10654.513997923068
09/2005,11145.975523406152
10/2005,10441.024804912004
11/2005,10463.445019686036
12/2005,10792.932968665695
01/2006,10988.141614460217
02/2006,10295.624731642158
03/2006,10520.66413355214
04/2006,11229.401950169684
05/2006,11332.343712462385
06/2006,11151.611269347992
07/2006,11505.071136721645
08/2006,11085.829651519467
09/2006,10413.768357271621
10/2006,10903.395866096545
11/2006,11495.35139897548
12/2006,10962.585174969621
01/2007,10981.14969493178
02/2007,11346.565899511012
03/2007,11452.510109917946
04/2007,11580.333404680929
05/2007,11590.592107484288
06/2007,11423.85299014155
07/2007,11656.35082329762
08/2007,11228.280831303191
09/2007,12122.501248936598
10/2007,12521.391115975694
11/2007,12123.724327845128
12/2007,12680.420985181809
01/2008,13210.962184371436
02/2008,14828.417430486985
03/2008,13881.917140108562
04/2008,14370.73017854006
05/2008,14757.863271882396
06/2008,16094.72191406231
07/2008,14180.116391180849
08/2008,13141.58993887706
09/2008,11621.21836191586
10/2008,9143.04856602888
11/2008,8503.117556705698
12/2008,8118.232735240055
01/2009,7678.71011311394
02/2009,7335.258353589755
03/2009,7596.456750237377
04/2009,7648.934483671416
05/2009,8640.662658264817
06/2009,8472.593045190943
07/2009,8742.910013721104
08/2009,8688.328769155321
09/2009,8821.558991976464
10/2009,9107.244755183516
11/2009,9424.026620051272
12/2009,9606.690650976536
01/2010,8903.455326099243
02/2010,9230.58337174419
03/2010,9112.020500288381
04/2010,9285.572411683246
05/2010,8638.90970732101
06/2010,8662.843223632279
07/2010,9246.047366747915
08/2010,9006.979079452378
09/2010,9657.456613301172
10/2010,10134.689527345783
11/2010,10094.579779760275
12/2010,11169.500532301245
01/2011,11276.877704161894
02/2011,11420.779015135477
03/2011,11652.124440836476
04/2011,12050.8144606859
05/2011,11436.17581587593
06/2011,10854.846204880285
07/2011,11171.74293602312
08/2011,11278.79958152009
09/2011,9612.195258719517
10/2011,10244.649784143052
11/2011,10013.080395080762
12/2011,9633.807895545813
01/2012,9867.96876657305
02/2012,10130.19949282451
03/2012,9707.09123096803
04/2012,9661.962603897553
05/2012,8775.885421798785
06/2012,9254.299205687319
07/2012,9848.87625248222
08/2012,9972.90326570552
09/2012,10138.927835440772
10/2012,9742.127036652013
11/2012,9743.237514069859
12/2012,9485.276326151292
01/2013,9708.502054531713
02/2013,9307.781418617455
03/2013,9366.9741314411
04/2013,9101.46035369122
05/2013,8893.691998359862
06/2013,8470.964663879811
07/2013,8582.800607628049
08/2013,8871.303828783384
09/2013,8640.991678318022
10/2013,8509.813794939524
11/2013,8438.489982756299
12/2013,8539.643885936346
01/2014,8561.453017431657
02/2014,9091.657182402716
03/2014,9125.35343523381
04/2014,9343.96678214994
05/2014,9071.42978183101
06/2014,9121.918571808306
07/2014,8663.628778229078
08/2014,8569.620782709451
09/2014,8032.6003494112865
10/2014,7964.801492626753
11/2014,7637.408112297931
12/2014,7051.755408287651
01/2015,6813.616064225344
02/2015,6986.281683738842
03/2015,6624.625006500745
04/2015,7001.6861996385405
05/2015,6809.855027867188
06/2015,6924.629991162475
07/2015,6186.621257132443
