Data,LU0659579733
09/2010,10000
10/2010,10276.756566666667
11/2010,10240.804787263802
12/2010,10806.55372546126
01/2011,11006.773829929933
02/2011,11324.147417025322
03/2011,11177.57698830947
04/2011,11422.235060813402
05/2011,11275.092356556826
06/2011,11095.605587485208
07/2011,10791.508889334289
08/2011,10063.203371498932
09/2011,9426.049863217535
10/2011,10218.604961852518
11/2011,10072.923553850862
12/2011,10136.998627493032
01/2012,10567.584221375284
02/2012,11049.675146200658
03/2012,11236.584529121068
04/2012,11054.632796248881
05/2012,10259.672536449092
06/2012,10684.800505695603
07/2012,10835.831105809215
08/2012,11040.052088150114
09/2012,11263.93201846243
10/2012,11204.071780744633
11/2012,11357.922186065778
12/2012,11560.245724647566
01/2013,12150.435366851487
02/2013,12327.33250267974
03/2013,12653.064535133293
04/2013,12987.455401545423
05/2013,13165.476167507682
06/2013,12838.357808756635
07/2013,13426.445001135788
08/2013,13139.341108741653
09/2013,13615.545430419561
10/2013,14143.315450046877
11/2013,14439.711008984761
12/2013,14729.574593762194
01/2014,14235.71848201382
02/2014,14820.983215165843
03/2014,14841.901253408798
04/2014,14942.290601026318
05/2014,15276.968559846151
06/2014,15479.937825440196
07/2014,15347.163780778123
08/2014,15745.638910843762
09/2014,15573.479008793887
10/2014,15741.823275927563
11/2014,16180.431931377569
12/2014,16043.401395970523
01/2015,15918.037670161222
02/2015,16849.705488759155
03/2015,16759.648020180015
04/2015,16921.136429971884
05/2015,17125.075773869037
06/2015,16610.88845613071
07/2015,17014.399148248183
08/2015,15880.868764591789
09/2015,15302.166627142113
10/2015,16509.836246475024
11/2015,16606.959503632046
12/2015,16238.203285061469
01/2016,15345.598408747052
02/2016,15093.507837993413
03/2016,15848.912951618962
04/2016,15965.134306795824
05/2016,16234.067904457315
06/2016,15992.313813152461
07/2016,16626.682296708863
08/2016,16675.311316436702
09/2016,16684.981805566582
10/2016,16546.50937387066
11/2016,16971.207260285515
12/2016,17413.509204011865
01/2017,17605.71257836695
02/2017,18138.295037932734
03/2017,18285.57030707233
04/2017,18469.533643468374
05/2017,18709.190249517458
06/2017,18681.36484127219
07/2017,18912.14746072918
08/2017,18908.38999685718
09/2017,19318.806807647183
10/2017,19784.539939008806
11/2017,20055.041046844788
12/2017,20233.77302765161
01/2018,20939.174119353098
02/2018,20151.657633817795
03/2018,19645.79593893256
04/2018,19991.538157876505
05/2018,20208.32179473292
06/2018,20231.333415476343
07/2018,20827.04172382586
08/2018,21062.71097809986
09/2018,21171.514532936475
10/2018,19657.24583475822
11/2018,19841.130095176595
12/2018,18239.464501180133
01/2019,19519.230450132476
02/2019,20133.663081028204
03/2019,20415.34481568868
04/2019,21139.121030708768
05/2019,19879.572752988726
06/2019,20990.31063571158
07/2019,21197.73938483469
08/2019,20730.305284909435
09/2019,21173.30959511037
10/2019,21515.6662268141
11/2019,22158.75540833492
12/2019,22607.688966615668
01/2020,22507.60534752354
02/2020,20636.695804309107
03/2020,17974.352721282405
04/2020,19846.16382203622
05/2020,20753.305092381648
06/2020,21220.404753555715
07/2020,21878.776064075533
08/2020,23215.45571720543
09/2020,22512.324579301727
10/2020,21800.90729460249
11/2020,24347.758359755655
12/2020,25158.215798382756
01/2021,24936.533848917355
02/2021,25573.006684727112
03/2021,26639.150956311227
04/2021,27668.590682688508
05/2021,27929.18659102796
06/2021,28571.290167649753
07/2021,29033.97076459709
08/2021,29784.279961776436
09/2021,28640.816202797338
10/2021,30197.135097725266
11/2021,29713.547742954685
12/2021,30850.913566592953
01/2022,29280.873696259543
02/2022,28479.164436027542
03/2022,29330.207523743946
04/2022,27166.298624026083
05/2022,27074.020617582344
06/2022,24879.57190916213
07/2022,26852.57131560205
08/2022,25867.312520912623
09/2022,23628.465174514666
10/2022,25254.614363808378
11/2022,26602.343989376543
12/2022,25205.212387883585
01/2023,26778.168360263746
02/2023,26313.93994184791
03/2023,26914.437501149623
04/2023,27298.230558811385
05/2023,27202.17855671088
06/2023,28678.510206971034
07/2023,29464.898395700726
08/2023,28900.918595327905
09/2023,27769.10012153286
10/2023,27010.12385923559
11/2023,29165.518272007605
12/2023,30332.77146232612
01/2024,30842.416683881205
02/2024,32228.68793194011
03/2024,33285.77874382572
04/2024,32167.453356875198
