Data,NL0009272749
03/2009,10000
04/2009,11227.376666538592
05/2009,12201.606655249365
06/2009,11975.81159689498
07/2009,13327.182628303884
08/2009,14013.068736650943
09/2009,14722.79687745719
10/2009,14298.799185058913
11/2009,14522.493978043745
12/2009,15916.082969257506
01/2010,15558.996828790618
02/2010,15129.26374702725
03/2010,16430.65657191277
04/2010,16643.006406181463
05/2010,15538.823460263064
06/2010,15346.162372492656
07/2010,16037.90368112483
08/2010,15424.97858142501
09/2010,16294.465351206643
10/2010,16433.268596749665
11/2010,16010.005707589225
12/2010,17334.259975435612
01/2011,17631.715886170434
02/2011,18106.34551627977
03/2011,17930.0798195396
04/2011,17846.91136526663
05/2011,17450.455318040567
06/2011,16957.227218912893
07/2011,16455.851231352022
08/2011,14722.414297668776
09/2011,14077.666746882203
10/2011,15451.671028885334
11/2011,15119.51967791725
12/2011,15761.475637408616
01/2012,16059.937002584173
02/2012,16413.1143113699
03/2012,16371.491207322215
04/2012,15780.94094371832
05/2012,15036.880409641884
06/2012,15925.670126059036
07/2012,16926.282788376415
08/2012,17167.4340975216
09/2012,16845.173967076975
10/2012,17241.173632837326
11/2012,17605.42369567977
12/2012,17922.93488485252
01/2013,18526.97406798629
02/2013,17853.759060651537
03/2013,18245.974086327453
04/2013,18546.679693666483
05/2013,19389.2925673582
06/2013,18382.18221278465
07/2013,19723.5127443587
08/2013,19441.493784712668
09/2013,20079.026554511296
10/2013,20990.351825529622
11/2013,21295.154307424953
12/2013,21571.004693327093
01/2014,20763.591921679512
02/2014,21448.103072883776
03/2014,21694.358904588855
04/2014,21646.91472682967
05/2014,22257.082877915578
06/2014,22575.787722353965
07/2014,22087.642795357147
08/2014,22680.980249880693
09/2014,23114.84556706846
10/2014,22579.674521798046
11/2014,23452.660273937738
12/2014,23370.289626642698
01/2015,24798.083178458986
02/2015,26724.976706593166
03/2015,27050.533664641545
04/2015,27115.29784123354
05/2015,27624.176087860484
06/2015,26448.696375469535
07/2015,27748.96096345769
08/2015,25111.17033767471
09/2015,23767.39937771951
10/2015,26111.251155403523
11/2015,26590.211756954308
12/2015,25014.825147910517
01/2016,24412.047850236537
02/2016,24276.241715442295
03/2016,25029.940296207318
04/2016,25249.28116948754
05/2016,25913.38864616637
06/2016,25232.51638586716
07/2016,26072.838570734846
08/2016,26557.48400836074
09/2016,26431.137606462136
10/2016,26475.819951475125
11/2016,26814.806455674912
12/2016,28330.64489950251
01/2017,27944.518654220807
02/2017,29139.316123706772
03/2017,30410.649226834194
04/2017,30848.035614489854
05/2017,31309.96021405975
06/2017,30318.276303479273
07/2017,31445.017029164817
08/2017,31106.368656686518
09/2017,32365.758102091586
10/2017,33349.91361487436
11/2017,32652.77133028735
12/2017,32914.592634348555
01/2018,33870.35525145591
02/2018,32463.22343908962
03/2018,32136.308818465914
04/2018,34006.91726033815
05/2018,34078.076292457285
06/2018,34031.97973242181
07/2018,35423.94088691526
08/2018,34691.380830212845
09/2018,34141.70305302091
10/2018,32218.653423772466
11/2018,32371.919818844737
12/2018,30400.45552846096
01/2019,32434.08377623374
02/2019,33814.2749410867
03/2019,34365.9698029541
04/2019,36087.76094709478
05/2019,34397.61533931848
06/2019,35742.76990581879
07/2019,36457.600659724936
08/2019,35862.2002438305
09/2019,37265.02968223066
10/2019,37068.946963824135
11/2019,38496.09839681428
12/2019,38955.673430701965
01/2020,37974.8337307488
02/2020,34834.58014709015
03/2020,31260.790426090312
04/2020,33330.26043215634
05/2020,34700.75981483673
06/2020,36510.63546538167
07/2020,35591.7052343643
08/2020,36021.71118325103
09/2020,35922.45835548893
10/2020,35051.886772374164
11/2020,39845.527578328605
12/2020,41057.47443136544
01/2021,41869.03853382375
02/2021,42894.229383369464
03/2021,46095.784465019235
04/2021,46725.12085509396
05/2021,47098.19456827668
06/2021,48447.18111342906
07/2021,50090.4079016877
08/2021,52519.1787501761
09/2021,51473.62540283217
10/2021,54197.9438562083
11/2021,52086.32706357715
12/2021,53448.89634339925
01/2022,50573.6702416523
02/2022,48983.27521431966
03/2022,48617.55041904921
04/2022,47961.45741433634
05/2022,48427.67913967451
06/2022,44779.99094118416
07/2022,49548.44086650167
08/2022,46480.20928498258
09/2022,43764.472083466906
10/2022,45818.95834226627
11/2022,49619.84610177971
12/2022,47202.842255547395
01/2023,51039.67561841201
02/2023,51712.94622640991
03/2023,51943.87568721905
04/2023,52401.34609751213
05/2023,51974.09616555539
06/2023,53751.55358105516
07/2023,55021.93496238318
08/2023,52026.587400742304
09/2023,50986.237719924946
10/2023,50277.23988918163
11/2023,53709.35786234509
12/2023,55224.58275063984
01/2024,57414.02334664424
02/2024,59702.75271420147
03/2024,62051.186185016086
04/2024,62169.7975950481
